feature,prefix,cardinality_category,global_unique_count_or_lower_bound,global_unique_count_exact,train_cardinality_category,train_unique_count_or_lower_bound,train_unique_count_exact,global_mean,global_std,global_min,global_max,global_missing_rate,global_zero_rate
P1_PIT02,P1,high_cardinality,201,False,high_cardinality,201,False,0.6245353075711383,0.3631472259306751,0.31143,1.54282,0.0,0.0
P1_PP01AD,P1,constant,1,True,constant,1,True,0.0,0.0,0.0,0.0,0.0,1.0
P1_PP01AR,P1,constant,1,True,constant,1,True,0.0,0.0,0.0,0.0,0.0,1.0
P1_PP01BD,P1,constant,1,True,constant,1,True,1.0,0.0,1.0,1.0,0.0,0.0
P1_PP01BR,P1,constant,1,True,constant,1,True,1.0,0.0,1.0,1.0,0.0,0.0
P1_PP02D,P1,constant,1,True,constant,1,True,1.0,0.0,1.0,1.0,0.0,0.0
P1_PP02R,P1,constant,1,True,constant,1,True,1.0,0.0,1.0,1.0,0.0,0.0
P1_PP04,P1,high_cardinality,201,False,high_cardinality,201,False,24.23699624628218,16.768029387313153,0.0,45.0,0.0,0.17525406504065041
P1_PP04D,P1,binary,2,True,binary,2,True,0.6119647696476964,0.487302874465308,0.0,1.0,0.0,0.38803523035230353
P1_PP04SP,P1,medium_cardinality,164,True,medium_cardinality,148,True,27.70628851897866,0.2954412220335435,27.05119,27.98469,0.0,0.0
P1_SOL01D,P1,constant,1,True,constant,1,True,524320.0,0.0,524320.0,524320.0,0.0,0.0
P1_SOL03D,P1,constant,1,True,constant,1,True,524320.0,0.0,524320.0,524320.0,0.0,0.0
P1_STSP,P1,constant,1,True,constant,1,True,1.0,0.0,1.0,1.0,0.0,0.0
P1_TIT01,P1,high_cardinality,201,False,high_cardinality,201,False,30.266595155767277,1.319549247080979,27.67029,34.12476,0.0,0.0
P1_TIT02,P1,high_cardinality,201,False,high_cardinality,201,False,36.06893338521342,2.062468650403987,32.49207,39.61792,0.0,0.0
P1_TIT03,P1,high_cardinality,201,False,high_cardinality,201,False,27.880250600609756,1.2222730099256345,25.51602,31.57687,0.0,0.0
P2_24Vdc,P2,high_cardinality,201,False,high_cardinality,201,False,28.03412621554031,0.0035297312650722514,28.01436,28.0499,0.0,0.0
P2_ATSW_Lamp,P2,binary,2,True,binary,2,True,0.880056741192412,0.32489531062890226,0.0,1.0,0.0,0.11994325880758808
P2_AutoGO,P2,binary,2,True,binary,2,True,0.8800575880758807,0.3248943199562681,0.0,1.0,0.0,0.11994241192411924
P2_AutoSD,P2,medium_cardinality,95,True,medium_cardinality,72,True,117.5400789964346,8.093513199144466,0.0,129.69986,0.0,9.739159891598917e-05
P2_Emerg,P2,binary,2,True,constant,1,True,7.96070460704607e-05,0.00892192670902749,0.0,1.0,0.0,0.9999203929539295
P2_MASW,P2,binary,2,True,binary,2,True,0.1199415650406504,0.3248933292784055,0.0,1.0,0.0,0.8800584349593495
P2_MASW_Lamp,P2,binary,2,True,binary,2,True,0.1199415650406504,0.3248933292784055,0.0,1.0,0.0,0.8800584349593495
P2_ManualGO,P2,binary,2,True,binary,2,True,0.11994325880758808,0.32489531062890226,0.0,1.0,0.0,0.880056741192412
P2_ManualSD,P2,low_cardinality,17,True,low_cardinality,13,True,11.264993084874662,3.881172090458721,0.0,12.94872,0.0,0.1057105352303523
P2_OnOff,P2,binary,2,True,constant,1,True,0.999902608401084,0.009868241802054808,0.0,1.0,0.0,9.739159891598917e-05
P2_RTR,P2,constant,1,True,constant,1,True,2880.0,0.0,2880.0,2880.0,0.0,0.0
P2_SCO,P2,high_cardinality,201,False,high_cardinality,201,False,54708.37607554201,168.0717420664072,51648.0,55841.0,0.0,0.0
P2_SCST,P2,high_cardinality,201,False,high_cardinality,201,False,720.4490101329184,0.23633950652467456,719.30902,721.23486,0.0,0.0
P2_SIT01,P2,high_cardinality,201,False,high_cardinality,201,False,903.7586737804878,33.97725831348132,0.0,1129.0,0.0,0.00010077913279132792
P2_TripEx,P2,constant,1,True,constant,1,True,1.0,0.0,1.0,1.0,0.0,0.0
P2_VIBTR01,P2,high_cardinality,201,False,high_cardinality,201,False,6.700804061576897,0.42685686260535216,-77.27489,7.8867,0.0,0.00010077913279132792
P2_VIBTR02,P2,high_cardinality,201,False,high_cardinality,201,False,-3.182636172679539,0.413432524115445,-79.8146,0.0,0.0,0.00010077913279132792
P2_VIBTR03,P2,high_cardinality,201,False,high_cardinality,201,False,9.655445310382792,0.3945006678672891,-74.4678,10.601,0.0,0.00010077913279132792
P2_VIBTR04,P2,high_cardinality,201,False,high_cardinality,201,False,-1.1514380414126015,0.3834399472165988,-79.0394,0.3069,0.0,0.00010416666666666667
P2_VT01,P2,high_cardinality,201,False,high_cardinality,201,False,11.949715219529134,0.12823196914152554,2e-05,13.15863,0.0,0.0
P2_VTR01,P2,constant,1,True,constant,1,True,50.0,0.0,50.0,50.0,0.0,0.0
P2_VTR02,P2,constant,1,True,constant,1,True,50.0,0.0,50.0,50.0,0.0,0.0
P2_VTR03,P2,constant,1,True,constant,1,True,50.0,0.0,50.0,50.0,0.0,0.0
P2_VTR04,P2,constant,1,True,constant,1,True,50.0,0.0,50.0,50.0,0.0,0.0
P3_FIT01,P3,high_cardinality,201,False,high_cardinality,201,False,1064.942897188347,1678.44531501499,20.0,5478.0,0.0,0.0
P3_LCP01D,P3,high_cardinality,201,False,high_cardinality,201,False,5018.62135501355,5119.192775826876,-16.0,13824.0,0.0,0.049372459349593494
P3_LCV01D,P3,high_cardinality,201,False,high_cardinality,201,False,7450.783035230353,6823.499855391102,-176.0,19408.0,0.0,0.006081470189701897
P3_LH01,P3,constant,1,True,constant,1,True,70.0,0.0,70.0,70.0,0.0,0.0
P3_LIT01,P3,high_cardinality,201,False,high_cardinality,201,False,15160.134720528455,3214.9144032838094,7969.0,19757.0,0.0,0.0
P3_LL01,P3,constant,1,True,constant,1,True,30.0,0.0,30.0,30.0,0.0,0.0
P3_PIT01,P3,high_cardinality,201,False,high_cardinality,201,False,772.3612754065041,1302.1030202499858,16.0,4724.0,0.0,0.0
P4_HT_FD,P4,high_cardinality,201,False,high_cardinality,201,False,-0.0001969446222899729,0.002090933338261104,-0.02792,0.03262,0.0,0.03217818428184282
P4_HT_PO,P4,high_cardinality,201,False,high_cardinality,201,False,34.896394406275405,31.38712701800843,0.0,90.56714,0.0,0.00044969512195121953
P4_HT_PS,P4,medium_cardinality,26,True,medium_cardinality,21,True,4.234902391226288,2.333544603474228,0.07477,7.94045,0.0,0.0
P4_LD,P4,high_cardinality,201,False,high_cardinality,201,False,366.2051202470443,60.77866257913335,228.40717,499.45746,0.0,0.0
P4_ST_FD,P4,high_cardinality,201,False,high_cardinality,201,False,-4.7700042344173436e-05,0.0016451112973385963,-0.02185,0.0204,0.0,0.01683689024390244
P4_ST_GOV,P4,high_cardinality,201,False,high_cardinality,201,False,18106.753341802167,1791.9435451964746,12760.0,26809.0,0.0,0.0
P4_ST_LD,P4,high_cardinality,201,False,high_cardinality,201,False,331.13816786293194,36.72141871146516,229.65497,497.4682,0.0,0.0
P4_ST_PO,P4,high_cardinality,201,False,high_cardinality,201,False,331.44467685324355,33.20276064249115,231.55377,494.59271,0.0,0.0
P4_ST_PS,P4,medium_cardinality,48,True,medium_cardinality,38,True,14.981039809137874,9.152359719284412,0.84523,29.28165,0.0,0.0
P4_ST_PT01,P4,high_cardinality,201,False,high_cardinality,201,False,9972.233247798102,30.857010359281777,9666.0,10233.0,0.0,0.0
P4_ST_TT01,P4,high_cardinality,201,False,high_cardinality,201,False,27095.34953336721,127.5515278198692,26838.0,27471.0,0.0,0.0
x1001_05_SETPOINT_OUT,x1001,high_cardinality,201,False,high_cardinality,201,False,0.12692431618394306,0.04172555906897684,0.05086,0.19995,0.0,0.0
x1001_15_ASSIGN_OUT,x1001,high_cardinality,201,False,high_cardinality,201,False,1.110698437610095,0.10540161186006242,0.75803,1.59844,0.0,0.0
x1002_07_SETPOINT_OUT,x1002,high_cardinality,201,False,high_cardinality,201,False,349.1945823450034,27.19707061242889,302.3558,398.63086,0.0,0.0
x1002_08_SETPOINT_OUT,x1002,high_cardinality,201,False,high_cardinality,201,False,996.6946488418869,29.305740257843805,950.62006,1049.25671,0.0,0.0
x1003_10_SETPOINT_OUT,x1003,high_cardinality,201,False,high_cardinality,201,False,1487.7130999892108,1259.4473842731725,6.15698,3190.0,0.0,0.0
x1003_18_SETPOINT_OUT,x1003,high_cardinality,201,False,high_cardinality,201,False,26.364144724872965,0.8959980902363914,25.13999,28.0,0.0,0.0
x1003_24_SUM_OUT,x1003,high_cardinality,201,False,high_cardinality,201,False,30.14339332885332,0.9523205612586819,27.95674,33.08534,0.0,0.0
