feature,mean_within_test_ks,min_within_test_ks,max_within_test_ks,mean_within_test_abs_mean_shift_sd,test_files_with_zero_normal_variance_change,absolute_mean_difference_in_test_normal_sd,test_normal_zero_variance_but_mean_changed,pooled_sample_ks_statistic,within_test_ks_rank
P4_ST_PT01,0.18855581170566393,0.14314999290695796,0.2339616305043699,0.4412158340718995,0,0.325524538420845,False,0.1660430448939474,22.0
P3_LIT01,0.18403995567702894,0.1669747774910751,0.2011051338629828,0.2464608442969975,0,0.2521698735552735,False,0.1491954931686425,23.0
P1_FT03,0.173309277307018,0.08641736890163243,0.2602011857124036,0.7735078097579398,0,0.006232762965006408,False,0.08301608556836229,24.0
P1_FT03Z,0.17313454188369667,0.08676066309949153,0.2595084206679018,0.6713401846180542,0,0.023231336779813788,False,0.08210352640450658,25.0
P4_HT_PS,0.15576462044857275,0.1248367922918443,0.1866924486053012,0.24394161178083415,0,0.050194986426999315,False,0.14504953543319954,26.0
x1001_05_SETPOINT_OUT,0.1520303683344301,0.09006808896546814,0.21399264770339205,0.1503978128966522,0,0.19568617031474936,False,0.20090389232895678,27.0
x1003_18_SETPOINT_OUT,0.15114740198224663,0.04512995300032241,0.25716485096417085,0.31585107052408706,0,0.5136786531064109,False,0.1884712951468427,28.0
x1003_24_SUM_OUT,0.14639250330131515,0.028263532975220995,0.2645214736274093,0.28395505194179216,0,0.46521729941763845,False,0.18967020730785966,29.0
P1_PP04,0.14445926578974017,0.0809869301738585,0.20793160140562184,0.25754893334260665,0,0.29287223207043356,False,0.15050267642413728,30.0
x1002_07_SETPOINT_OUT,0.13886622317706987,0.09281806919232927,0.18491437716181047,0.08894230287953844,0,0.14247189132886748,False,0.16644508437327843,31.0
P2_AutoSD,0.1343807733190528,0.12728580788870028,0.14147573874940533,0.22990104058015595,0,0.051271013424195135,False,0.07535504104167767,32.0
P2_SCO,0.13194123120185447,0.11713009550030795,0.146752366903401,0.14172798015112426,0,0.05547699436093376,False,0.12255724904494308,33.0
P1_LIT01,0.1296458801194857,0.11896005565580514,0.14033170458316624,0.36684177027703496,0,0.4644960444808847,False,0.10134404464906266,34.0
P2_SIT01,0.12006963361423476,0.08576994336777102,0.1543693238606985,0.19384457885362272,0,0.10365937171594987,False,0.08598984905809456,35.0
P1_PCV02Z,0.11937263306965036,0.09882690729389257,0.13991835884540815,4.096613922158935,0,3.597559060222385,False,0.11237981442035216,36.0
P4_ST_PS,0.1188778652885566,0.01872860949600247,0.21902712108111072,0.1977126588897481,0,0.32947383587012663,False,0.20824502963131014,37.0
P1_PP04D,0.1172286151308986,0.02206891383197812,0.2123883164298191,0.2371860814297166,0,0.3222316385322395,False,0.16652491641040412,38.0
P2_ManualSD,0.11406231600947123,0.0,0.22812463201894245,0.32528072849996487,0,0.483471614732388,False,0.1634157296040164,39.0
P2_SCST,0.099895827975573,0.0775257415890321,0.12226591436211393,0.12466693585465906,0,0.15976590748592218,False,0.0904321005924203,40.0
x1002_08_SETPOINT_OUT,0.09856798938265401,0.04899153572894904,0.14814444303635899,0.09595072776467294,0,0.1536909291628255,False,0.15436351974127405,41.0
P3_LCV01D,0.07540345731635112,0.05263087548727241,0.09817603914542983,0.11909495392844194,0,0.012500929755413998,False,0.02921265440252696,42.0
P4_HT_PO,0.0752779003470469,0.05154563064339035,0.09901017005070345,0.11978112762654741,0,0.01226166490650068,False,0.030150532048436984,43.0
P3_LCP01D,0.07423904517960234,0.05249684496686875,0.09598124539233593,0.05056233063193103,0,0.017444324657931286,False,0.033397764098147945,44.0
P2_VIBTR03,0.06592632289356776,0.037081514560167506,0.09477113122696801,0.19577553345116577,0,0.26279175549879846,False,0.0644955194329484,45.0
P1_PCV02D,0.06308767331691811,0.05239248273161767,0.07378286390221855,8.799496103563067,0,6.242361900319657,False,0.06813612091000343,46.0
P4_LD,0.06171960789500877,0.049400536025911324,0.07403867976410622,0.07433892120308089,0,0.010108148256556,False,0.033494518017815667,47.0
P3_FIT01,0.053364070880654174,0.04384520033215849,0.06288294142914985,0.0184991405587773,0,0.024971435108124294,False,0.03754672981081081,48.0
P3_PIT01,0.05216222224816684,0.05208994663925317,0.05223449785708051,0.06065328563847046,0,0.0667812640997474,False,0.03327131645683318,49.0
P4_ST_PO,0.045965470490406016,0.04130152220983588,0.05062941877097615,0.020899893133507198,0,0.015341138060025765,False,0.03812530699061634,50.0
P2_VIBTR01,0.043377585430979554,0.04057811693690638,0.046177053925052725,0.13103786970596762,0,0.14212466168135762,False,0.03715159098510193,51.0
P2_VIBTR04,0.0430574622503594,0.023001783859633695,0.0631131406410851,0.02760416725886171,0,0.03064022312794636,False,0.05408309262009035,52.0
x1001_15_ASSIGN_OUT,0.04265926710966875,0.03861405856921751,0.04670447565011998,0.04741875923992331,0,0.0498256207709733,False,0.05438676963578576,53.0
P4_ST_GOV,0.03950880149818299,0.031709473772552926,0.047308129223813056,0.022897087940062896,0,0.03205411221616706,False,0.03681167347381026,54.0
P4_ST_LD,0.038192541529990603,0.027800944427837426,0.04858413863214378,0.025150593658362728,0,0.02555957031360013,False,0.04042639347842225,55.0
P2_ATSW_Lamp,0.03517860916122746,0.0,0.07035721832245492,0.09106035495783978,0,0.18456887016086918,False,0.06530580737132646,56.0
P2_AutoGO,0.03517860916122746,0.0,0.07035721832245492,0.09106035495783978,0,0.18456887016086918,False,0.06530580737132646,56.0
P2_MASW,0.03517860916122745,0.0,0.0703572183224549,0.09106035495783979,0,0.1845688701608691,False,0.06530580737132641,58.0
P2_MASW_Lamp,0.03517860916122745,0.0,0.0703572183224549,0.09106035495783979,0,0.1845688701608691,False,0.06530580737132641,58.0
P2_ManualGO,0.03517860916122745,0.0,0.0703572183224549,0.09106035495783979,0,0.1845688701608691,False,0.06530580737132641,58.0
P1_PP04SP,0.03107497744215458,0.0,0.06214995488430916,0.08693575981917218,0,0.0460200024034711,False,0.061530088200969696,61.0
P2_24Vdc,0.029957644243589113,0.020304620324987838,0.03961066816219039,0.06016075122632293,0,0.029525221766829004,False,0.018895421221687858,62.0
P2_VT01,0.02984780545148178,0.01754325346585206,0.0421523574371115,1.7767470569186927,0,2.609412498913849,False,0.03673311218641918,63.0
P2_VIBTR02,0.027450692444768523,0.0134443338948802,0.041457050994656845,0.040812124427325513,0,0.08830093425835923,False,0.040904388403916456,64.0
P4_HT_FD,0.027262829017078938,0.018111550801311327,0.03641410723284655,0.005542103834763918,0,0.007329195255124801,False,0.02341964415661657,65.0
P4_ST_FD,0.014878484357475852,0.013190967581881319,0.016566001133070385,0.014335267680139409,0,0.01379841355514653,False,0.01947197163609382,66.0
P2_OnOff,0.006842794240152327,0.0,0.013685588480304654,inf,1,inf,True,0.010101897399859451,67.0
P2_Emerg,0.005593240509341901,0.0,0.011186481018683803,inf,1,inf,True,0.008257203092059018,68.0
P1_PIT01_HH,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P1_PP01AD,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P1_PP01AR,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P1_PP01BD,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P1_PP01BR,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P1_PP02D,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P1_PP02R,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P1_SOL01D,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P1_SOL03D,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P1_STSP,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P2_RTR,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P2_TripEx,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P2_VTR01,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P2_VTR02,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P2_VTR03,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P2_VTR04,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P3_LH01,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
P3_LL01,0.0,0.0,0.0,0.0,0,0.0,False,0.0,69.0
