feature_1,feature_2,mean_absolute_correlation_change,max_absolute_correlation_change,mean_signed_correlation_change,contributing_test_files
P1_PCV01Z,P1_PCV02Z,0.38819830360988067,0.46360325661895085,-0.38819830360988067,2
P4_ST_PT01,x1001_15_ASSIGN_OUT,0.3863240083062488,0.47658898406103894,-0.3863240083062488,2
P1_FCV03Z,P1_FT03Z,0.38078038733937547,0.41473316842604907,-0.03395278108667357,2
P1_FCV03Z,P1_FT03,0.3789155981618112,0.4051257385374773,-0.026210140375666074,2
P2_SIT01,P2_VIBTR03,0.37541683279639704,0.7202081368595433,0.3447913040631463,2
P2_AutoSD,P2_VIBTR01,0.3734939725450896,0.5800647733944235,0.20657080084933394,2
P2_VIBTR01,P2_VT01,0.37329207333936215,0.7231116203199557,0.34981954698059353,2
P1_FT03,P4_HT_PS,0.3731018446561178,0.6537169504769913,-0.2806151058208735,2
P1_FT03,x1003_18_SETPOINT_OUT,0.3676394932928252,0.68816281398807,-0.3676394932928252,2
P1_LIT01,P2_ManualSD,0.3674014532945032,0.3674014532945032,-0.3674014532945032,1
P1_PCV02Z,x1003_18_SETPOINT_OUT,0.36712928744629797,0.49309115198848674,0.36712928744629797,2
P1_PCV01D,P4_ST_PT01,0.36667543724355933,0.5811084981846496,-0.21443306094109027,2
P1_PCV01Z,P4_HT_PO,0.36569023236440723,0.395838468499088,-0.36569023236440723,2
P1_PCV01D,P3_PIT01,0.36532448503871817,0.42405313909205494,0.36532448503871817,2
P1_FT03Z,P4_HT_PS,0.3643169205777956,0.6318482872494139,-0.2675313666716183,2
P1_FCV03D,P1_PCV01D,0.3641496328821487,0.62150197084472,-0.3641496328821487,2
P1_PCV01Z,P3_LCV01D,0.36064294957696236,0.3896869614639896,-0.36064294957696236,2
P2_SCO,P2_VIBTR01,0.3590183001345717,0.5594575820873839,0.20043928195281221,2
P1_PCV01D,P1_PIT01,0.357356556530997,0.5888923131150009,-0.23153575658400388,2
P2_ManualSD,x1001_05_SETPOINT_OUT,0.35730170107038206,0.35730170107038206,-0.35730170107038206,1
P1_PCV01Z,P4_LD,0.3556445754713779,0.37644804453805386,-0.3556445754713779,2
P1_LCV01Z,P4_ST_PS,0.354960695048851,0.48826653298409717,-0.13330583793524614,2
P1_FCV03D,P4_HT_PS,0.35476586801830834,0.6842580538732782,-0.32949218585496987,2
P1_FT03Z,x1003_18_SETPOINT_OUT,0.3532528892687128,0.6539364614825514,-0.3532528892687128,2
P1_FCV03Z,P4_HT_PS,0.352414774621226,0.6792607278334024,-0.3268459532121764,2
P1_FCV03D,P1_PCV01Z,0.3523135889937392,0.6261083493343136,-0.3523135889937392,2
P1_PCV01Z,P4_ST_PT01,0.3516569767997911,0.6220208452832466,-0.27036386848345556,2
P1_FCV03Z,P1_PCV01D,0.35158097632359875,0.6018643938154145,-0.35158097632359875,2
P1_PIT01,P4_ST_GOV,0.3506592046895112,0.3956707874738585,-0.3506592046895112,2
P1_PCV01Z,P3_PIT01,0.3490660904086172,0.39361589407595676,0.3490660904086172,2
P1_PP04D,x1002_07_SETPOINT_OUT,0.348531511436091,0.40962002390287566,0.06108851246678465,2
P1_LCV01D,P4_ST_PS,0.34451877778568435,0.478739349088342,-0.13422057130265763,2
P1_FCV03Z,P1_PCV01Z,0.34261248882254536,0.608048469922549,-0.34261248882254536,2
P1_PCV01Z,P1_PIT01,0.34098114737842067,0.6293144615781432,-0.2883333141997225,2
P1_PIT01,P3_LCP01D,0.33954883581036277,0.408812498140923,0.33954883581036277,2
P1_PCV01D,P1_PCV02D,0.3392419565577848,0.3392419565577848,-0.3392419565577848,1
P1_LIT01,P1_PCV02D,0.33851634131402075,0.33851634131402075,0.33851634131402075,1
P4_HT_PS,x1002_07_SETPOINT_OUT,0.33802778142429113,0.5800486193964827,-0.33802778142429113,2
P1_LCV01D,P1_PCV02D,0.3379222481534968,0.3379222481534968,-0.3379222481534968,1
P4_ST_TT01,x1002_08_SETPOINT_OUT,0.3368758809522333,0.6475253063674011,0.3368758809522333,2
P1_TIT01,x1002_08_SETPOINT_OUT,0.3357167879354815,0.6450762098102419,0.3357167879354815,2
P1_LCV01Z,P1_PCV01D,0.33309864141654955,0.39139038164448514,-0.05829174022793557,2
P1_PCV01Z,P1_PCV02D,0.33287689699717843,0.33287689699717843,-0.33287689699717843,1
P1_TIT03,P3_LIT01,0.3327903667509412,0.3504473182105945,0.017656951459653264,2
P1_LCV01Z,P3_LIT01,0.3323874722582971,0.5651124955233849,-0.3323874722582971,2
P4_ST_GOV,P4_ST_PT01,0.3311590644467801,0.37548266889686566,-0.3311590644467801,2
P1_LCV01Z,P1_PCV01Z,0.3297955044093088,0.3374645037424372,-0.007668999333128368,2
P1_LIT01,P4_ST_PT01,0.32912507872630997,0.3934917137660895,0.06436663503977952,2
P1_FCV01Z,P2_ManualSD,0.3275925965264893,0.3275925965264893,-0.3275925965264893,1
P1_PIT01,P3_PIT01,0.3272730758255409,0.3757463775686571,0.3272730758255409,2
P1_FCV01D,P2_ManualSD,0.3258798386220102,0.3258798386220102,-0.3258798386220102,1
P1_LIT01,P4_HT_PS,0.3230782708353339,0.5370104080435734,-0.3230782708353339,2
P1_LIT01,P1_PIT01,0.3229493640074649,0.3962793357814134,0.07332997177394848,2
P1_FT03,P1_LIT01,0.3226232116973109,0.35676722659751614,0.034144014900205244,2
P2_ManualSD,P2_VIBTR01,0.3216630705611134,0.3216630705611134,0.3216630705611134,1
P3_LCP01D,P4_ST_PT01,0.3215587634929393,0.38957421176399254,0.3215587634929393,2
P1_FT03Z,P1_LIT01,0.3213665691097214,0.3579785303231901,0.03661196121346874,2
P2_VIBTR02,P2_VIBTR03,0.3197018474521448,0.6116549124200105,0.29195306496786566,2
P1_LCV01D,P3_LIT01,0.3191562150179688,0.5433977858171423,-0.3191562150179688,2
P2_AutoSD,P2_SIT01,0.31712291970161344,0.6318196072288814,0.314696687527268,2
P1_LCV01D,P1_LIT01,0.3168381351373001,0.3687015192659838,-0.05186338412868377,2
P2_ManualSD,x1003_24_SUM_OUT,0.31662539852653515,0.31662539852653515,-0.31662539852653515,1
P1_PCV02Z,x1001_05_SETPOINT_OUT,0.3147186390107253,0.40790390802855553,-0.09318526901783025,2
P1_FT03Z,P1_PCV02D,0.31449853485587315,0.31449853485587315,-0.31449853485587315,1
P2_VIBTR03,P2_VIBTR04,0.31423731999032123,0.49134585888258897,0.17710853889226771,2
P1_PP04D,P2_SCO,0.31402931773672427,0.4313472921215356,0.11731797438481131,2
P3_PIT01,P4_ST_PT01,0.3099474382548688,0.3596611492765647,0.3099474382548688,2
P1_TIT03,P2_AutoSD,0.3087690741339075,0.47867905388104964,0.3087690741339075,2
P1_PCV02Z,P4_ST_PS,0.30756055515191705,0.45744469183645675,0.30756055515191705,2
P1_PCV01Z,P4_ST_LD,0.30736062327636404,0.3484978888915886,-0.30736062327636404,2
P1_PP04,P2_SCO,0.30643750795238106,0.4295449579209164,0.12310744996853533,2
P1_PP04,P1_TIT02,0.30579619612256626,0.4372087548795983,0.13141255875703206,2
P1_FT01Z,P1_LIT01,0.3054154649164199,0.3241908244570738,0.018775359540653902,2
P1_PIT01,P3_LIT01,0.30320433259865814,0.4423341621838743,0.30320433259865814,2
P1_FCV01D,P2_AutoSD,0.30220857601133394,0.48802573681219774,-0.30220857601133394,2
P1_FCV01Z,x1001_05_SETPOINT_OUT,0.3021468657531875,0.3050441664151536,0.3021468657531875,2
P1_FT03,P4_ST_PS,0.30207070798657887,0.580451503987596,-0.2783807960010172,2
P1_FT03,P1_PCV02D,0.3019380800366074,0.3019380800366074,-0.3019380800366074,1
P1_TIT02,P4_HT_PS,0.3012068741668614,0.38174046990914406,-0.3012068741668614,2
P2_ManualSD,x1003_18_SETPOINT_OUT,0.3009729866262225,0.3009729866262225,-0.3009729866262225,1
P1_FCV01Z,P2_AutoSD,0.30080840225668537,0.48691362288752227,-0.30080840225668537,2
P1_FCV02Z,x1002_08_SETPOINT_OUT,0.30077310082252856,0.4336907197118426,0.13291761888931403,2
P1_LCV01Z,P1_TIT01,0.2999730848713527,0.5863231612181801,0.28635007634682735,2
P1_LCV01Z,P4_ST_TT01,0.29925617842151164,0.5858044631900372,0.28654828476852556,2
P1_FT02,P2_AutoSD,0.2987138274964839,0.4768298699552397,-0.2987138274964839,2
P1_FT01Z,P1_PIT01,0.2976037022344149,0.43613929912433247,-0.13853559688991757,2
P1_PIT01,P4_ST_PO,0.29747069141959914,0.3187115251006032,-0.29747069141959914,2
P1_FT01Z,P4_ST_PT01,0.2971872204001026,0.43530696621524384,-0.13811974581514125,2
P1_PP04,x1002_07_SETPOINT_OUT,0.2970027564730831,0.4092154236105293,0.11221266713744621,2
P1_FT02,P3_LIT01,0.2962115484905985,0.33348912824276,-0.037277579752161505,2
P1_LCV01D,P1_TIT01,0.29559509891709435,0.583875367204978,0.28828026828788367,2
P1_FT02,x1001_05_SETPOINT_OUT,0.2955582365312821,0.32941700398194546,0.2955582365312821,2
P1_PCV02Z,P1_PIT01,0.2955084219819688,0.3577356095426736,-0.06222718756070475,2
P1_FCV01D,x1001_05_SETPOINT_OUT,0.2953107929958515,0.30206873369283105,0.2953107929958515,2
P1_LCV01D,P4_ST_TT01,0.2951112000097915,0.5832345093574309,0.2881233093476394,2
P1_PP04,P2_AutoSD,0.2950810996480199,0.4381941577604969,0.14311305811247704,2
P2_ManualSD,P4_ST_PS,0.2949206197315588,0.2949206197315588,-0.2949206197315588,1
P1_PCV02Z,P4_ST_PT01,0.29448037473664984,0.34110078386771425,-0.04662040913106441,2
P2_AutoSD,P2_SCO,0.2936818653179691,0.587091479204984,0.29340961388701486,2
P1_TIT02,x1002_08_SETPOINT_OUT,0.2935744657302912,0.39077862259003737,0.09720415685974614,2
P1_TIT03,P2_SCO,0.29356746401961864,0.4790743298485116,0.29356746401961864,2
P1_FT02,P2_ManualSD,0.2934028682104915,0.2934028682104915,-0.2934028682104915,1
P1_FCV01D,P2_SCO,0.2933313808349079,0.48193518251232714,-0.2933313808349079,2
P1_PP04D,P2_AutoSD,0.2920089060606858,0.43192641059122544,0.13991750453053964,2
P1_FCV01Z,P2_SCO,0.29149730368453297,0.48100391878023296,-0.29149730368453297,2
P3_LIT01,P4_ST_PT01,0.2905920614596107,0.41967404066931735,0.2905920614596107,2
P1_FT02Z,P2_ManualSD,0.28979002880063764,0.28979002880063764,-0.28979002880063764,1
P2_ManualSD,x1003_10_SETPOINT_OUT,0.28948565490616884,0.28948565490616884,-0.28948565490616884,1
P1_FT02,P2_SCO,0.287933389513528,0.46816731292021396,-0.287933389513528,2
P1_FT03Z,P4_ST_PS,0.28700111155079255,0.563182203574223,-0.27618109202343044,2
P1_PP04D,P4_ST_PS,0.28592132635076045,0.2965820068495868,-0.010660680498826347,2
P1_FT03,x1001_05_SETPOINT_OUT,0.2854563155796399,0.38266296158604235,0.09720664600640244,2
P1_FCV02Z,P4_HT_PS,0.28511585419724983,0.3511719319066104,-0.28511585419724983,2
P1_PIT01,P4_HT_PO,0.2846264046663829,0.36200944555168374,-0.2846264046663829,2
P1_FT02Z,P3_LIT01,0.28411672632470275,0.31352827080181167,-0.02941154447710892,2
P3_LIT01,x1003_10_SETPOINT_OUT,0.2839015574299935,0.3127261533105331,-0.028824595880539594,2
P1_FT02Z,x1001_05_SETPOINT_OUT,0.2828999517988686,0.29153981208845153,0.2828999517988686,2
x1001_05_SETPOINT_OUT,x1003_10_SETPOINT_OUT,0.2828236863113978,0.2911809594960398,0.2828236863113978,2
P1_PCV02D,P1_PCV02Z,0.2825578198320371,0.2825578198320371,0.2825578198320371,1
P1_PP04,P4_ST_PO,0.2812095946025519,0.31984226141924516,0.2812095946025519,2
P2_ManualSD,P2_VT01,0.2809411181567638,0.2809411181567638,0.2809411181567638,1
P1_PCV01Z,x1002_08_SETPOINT_OUT,0.2808605628932718,0.3249169665812015,-0.2808605628932718,2
P1_PIT01,P3_LCV01D,0.2800420973864821,0.35641227483274945,-0.2800420973864821,2
P1_TIT01,P4_ST_PT01,0.27983957678122956,0.532286751841849,-0.2524471750606195,2
P4_ST_PT01,P4_ST_TT01,0.27964710384891345,0.5328382052018622,-0.25319110135294876,2
P1_PIT01,P1_TIT01,0.27948825479241646,0.5320163062877828,-0.2525280514953664,2
P1_PIT01,P4_ST_TT01,0.2793378788817388,0.5328434220097332,-0.25350554312799445,2
P1_FCV02D,x1002_08_SETPOINT_OUT,0.2785075611232703,0.3833375281774485,0.10482996705417817,2
P1_FT01Z,P1_PCV02Z,0.2784615820685837,0.35192657479348727,-0.2784615820685837,2
P1_PCV01D,x1002_08_SETPOINT_OUT,0.2782766565829806,0.3260042562164519,-0.2782766565829806,2
P4_ST_PO,P4_ST_PT01,0.2779582624148219,0.2986991478539619,-0.2779582624148219,2
P1_PCV01D,P1_PP04,0.2778249017794655,0.5117796244903859,0.23395472271092044,2
P2_ManualSD,P2_VIBTR04,0.2775539681350486,0.2775539681350486,0.2775539681350486,1
P1_PCV02D,P4_ST_PT01,0.2774087203339235,0.2774087203339235,0.2774087203339235,1
P1_PIT02,P4_ST_PS,0.2761607650064565,0.31430580034591804,-0.038145035339461564,2
P1_PP04D,P1_TIT02,0.2760535484034837,0.4138783624991193,0.13782481409563563,2
P1_PIT02,x1002_08_SETPOINT_OUT,0.27567648390985733,0.33602917577266406,-0.060352691862806715,2
P1_TIT02,P2_SCO,0.2751087475587957,0.37313361231905506,0.2751087475587957,2
P2_VIBTR03,x1003_18_SETPOINT_OUT,0.27396288610860364,0.5369488762626653,-0.27396288610860364,2
P1_LCV01D,P1_PP04,0.2736645977772574,0.42647483336079134,-0.2736645977772574,2
P1_PCV01D,P3_FIT01,0.27355927281142045,0.34104316903988974,0.27355927281142045,2
P1_TIT02,P2_AutoSD,0.27350080648762487,0.37736079929667177,0.27350080648762487,2
P1_FT03Z,x1001_05_SETPOINT_OUT,0.27340031857569,0.3605492758562192,0.08714895728052918,2
P1_FCV03Z,x1003_18_SETPOINT_OUT,0.2728336755280868,0.5174055337085568,-0.2728336755280868,2
P1_FCV02D,P2_ManualSD,0.2724608012492983,0.2724608012492983,0.2724608012492983,1
P1_PP04D,P4_ST_PO,0.2717809023607772,0.2826348889828928,0.2717809023607772,2
P1_FCV02Z,x1002_07_SETPOINT_OUT,0.2717107108727537,0.2761449930138528,0.0044342821410990885,2
P4_HT_PO,P4_ST_PT01,0.27155035424144564,0.3466547243977609,-0.27155035424144564,2
P1_PCV01Z,P3_LIT01,0.27136343617614667,0.36914078289731156,0.27136343617614667,2
P1_LCV01Z,P1_PCV02D,0.2711296233286293,0.2711296233286293,-0.2711296233286293,1
P1_PCV01Z,P1_PP04,0.2705053456744825,0.49225067458209504,0.22174532890761256,2
P1_FCV01Z,P3_LIT01,0.2704029054975666,0.30681449706584635,-0.03641159156827971,2
P1_LCV01Z,P1_PP04,0.2702907205465016,0.4143641778011113,-0.2702907205465016,2
P2_SIT01,P2_VIBTR01,0.2698328053338359,0.5105326281184854,0.24069982278464952,2
P1_FT02Z,P2_AutoSD,0.2698228290278173,0.41622259513048393,-0.2698228290278173,2
P1_FCV02Z,P1_FT03,0.26979927761866024,0.3936621720810355,0.12386289446237525,2
P2_AutoSD,x1003_10_SETPOINT_OUT,0.26962243959462895,0.41545761250126434,-0.26962243959462895,2
P1_FCV01Z,P1_PIT02,0.26951407431815055,0.387132325606815,0.11761825128866443,2
P1_FCV02Z,P1_FT03Z,0.26912418707614694,0.3924202933231463,0.12329610624699941,2
P2_SCST,P4_ST_TT01,0.2686316277949426,0.29421752353032804,0.025585895735385444,2
P1_TIT01,P2_SCST,0.2684833137634118,0.29275080615485904,0.024267492391447265,2
P1_PP04,P4_ST_GOV,0.2679591479133502,0.3155036373745633,0.2679591479133502,2
P1_FCV01D,P1_PIT02,0.26792276174896446,0.3826344859714429,0.11471172422247843,2
P3_LCV01D,P4_ST_PT01,0.26718662978804963,0.3413814416204577,-0.26718662978804963,2
P1_FCV02Z,P1_LIT01,0.2667845326456968,0.2978777933186713,0.03109326067297455,2
P1_FCV03D,x1003_18_SETPOINT_OUT,0.26612942754299196,0.5051213011979381,-0.26612942754299196,2
P1_LIT01,P4_ST_PS,0.265712252721542,0.4331427577501902,0.1674305050286482,2
P1_LCV01Z,x1001_05_SETPOINT_OUT,0.26570151320038743,0.31552076244634464,0.26570151320038743,2
P1_PCV02D,P1_PIT01,0.2655910811233394,0.2655910811233394,0.2655910811233394,1
P2_ManualSD,P2_SIT01,0.2653686708703212,0.2653686708703212,0.2653686708703212,1
P1_FCV01D,P3_LIT01,0.26512712742494143,0.29736477654879667,-0.032237649123855225,2
P1_TIT02,x1002_07_SETPOINT_OUT,0.2639599864462019,0.3514140451931538,-0.0874540587469519,2
P1_FT01,P4_ST_PS,0.2637845134647463,0.3548052825358956,-0.09102076907114928,2
P1_FT01,P4_ST_PT01,0.2626351415740049,0.3572856221658551,-0.09465048059185019,2
P1_FT01,P1_LIT01,0.26238754540861975,0.3149493628048475,0.052561817396227756,2
P1_FT02,P1_PCV01D,0.26190273974452327,0.3722722052426649,-0.11036946549814167,2
P1_PIT01,P4_LD,0.26123014420490254,0.30697937931913866,-0.26123014420490254,2
P1_PP04D,P4_ST_GOV,0.2608811284356539,0.27884166196912075,0.2608811284356539,2
P1_FT01,P1_PIT01,0.26057783577805527,0.3556621551577816,-0.09508431937972633,2
P1_LCV01D,P1_PP04D,0.2603862016652202,0.41169039820865355,-0.2603862016652202,2
P1_LCV01Z,x1002_08_SETPOINT_OUT,0.2597556186134553,0.32455721930950765,0.06480160069605237,2
P2_ManualSD,P2_SCO,0.25933302243145057,0.25933302243145057,0.25933302243145057,1
P1_FCV02D,x1002_07_SETPOINT_OUT,0.25906150670001926,0.2782646975791271,-0.019203190879107795,2
P1_FT03,P2_VIBTR04,0.2586360564809126,0.5097680853507118,-0.25113202886979924,2
P1_PP04,P4_ST_LD,0.25824373867402417,0.28227412502274624,0.25824373867402417,2
P1_FT02Z,P2_SCO,0.25720673825361234,0.40960963566475284,-0.25720673825361234,2
P2_SCO,x1003_10_SETPOINT_OUT,0.2569767628624379,0.4088438831613217,-0.2569767628624379,2
P1_PCV01D,P3_LIT01,0.2568388072620441,0.35199035498216236,0.2568388072620441,2
P1_FT03Z,P1_TIT02,0.2568230046108612,0.3642779015217787,0.10745489691091746,2
P1_FT03,x1002_08_SETPOINT_OUT,0.2567768451548074,0.3253526219883056,-0.2567768451548074,2
P1_FCV02D,P1_LIT01,0.25588936324223716,0.2670562980397428,0.011166934797505634,2
P2_VIBTR03,x1003_24_SUM_OUT,0.25550016850083157,0.5066238829126363,-0.25550016850083157,2
P1_FT03,P1_TIT02,0.25500167873381546,0.364859675220709,0.10985799648689352,2
P1_FT02,P1_PCV01Z,0.25474209125801395,0.35452232151035873,-0.09978023025234477,2
P1_LCV01D,x1001_05_SETPOINT_OUT,0.2546129244195451,0.3024139395787663,0.2546129244195451,2
P1_PP04D,P4_ST_LD,0.2546024679607217,0.2562946072529408,0.2546024679607217,2
P1_FCV02D,P4_HT_PS,0.254435110752063,0.3191446465843235,-0.254435110752063,2
P1_LCV01Z,P1_PP04D,0.2540650374085329,0.3961844114856172,-0.2540650374085329,2
P1_LCV01D,x1002_08_SETPOINT_OUT,0.2529503543065938,0.32035465349983805,0.06740429919324424,2
P1_LCV01Z,P1_LIT01,0.25291624681780356,0.26931255127227377,0.016396304454470184,2
P1_FCV03Z,P2_VIBTR04,0.25285924605718635,0.5045061760973624,-0.251646930040176,2
P1_FCV02D,P1_FT03Z,0.25265716534223315,0.35367789036233294,0.10102072502009982,2
P1_FCV02D,P1_FT03,0.25214764685576,0.3526292906256788,0.10048164376991882,2
P1_LIT01,P4_ST_TT01,0.2512674386474296,0.2883173856618695,0.03704994701443985,2
P1_FCV01Z,x1003_24_SUM_OUT,0.25058464804348013,0.26146415248221827,-0.010879504438738169,2
P1_LIT01,P1_TIT01,0.25053169819725796,0.2871035510972143,0.03657185289995632,2
P1_FT03Z,P2_VIBTR04,0.2504031568750216,0.48598676626684545,-0.23558360939182382,2
P1_PCV01D,P1_PP04D,0.24863940856336766,0.4644340157667915,0.21579460720342383,2
P1_FCV02Z,P2_ManualSD,0.2485988076892945,0.2485988076892945,0.2485988076892945,1
P1_LCV01D,P1_PCV01D,0.24841211546646247,0.36918434682854345,-0.12077223136208098,2
P1_FCV01D,x1003_24_SUM_OUT,0.2483704901173302,0.25903598778107906,-0.010665497663748857,2
P1_FT01Z,P4_ST_PS,0.24791119593854669,0.3557716045134782,-0.10786040857493154,2
P2_VIBTR04,P2_VT01,0.24784717957612337,0.47805535837044094,-0.23020817879431757,2
P4_LD,P4_ST_PT01,0.2461554901667371,0.28899521905583736,-0.2461554901667371,2
P1_PP04,P1_TIT03,0.24448134401986735,0.2616347720030253,0.01715342798315797,2
P1_PP04,P4_ST_PS,0.24419987095946172,0.28562145994837296,-0.041421588988911254,2
P1_FCV03D,P2_VIBTR04,0.24409965732861652,0.4873815250508548,-0.24328186772223828,2
P1_PP04D,P2_SIT01,0.24318016896843972,0.2945140543903527,0.051333885421913,2
P1_FT03Z,x1002_08_SETPOINT_OUT,0.2426510149971718,0.30674776245140933,-0.2426510149971718,2
P1_FT03Z,P3_LIT01,0.24217308945311455,0.34974604720243824,-0.1075729577493237,2
P1_LCV01D,P1_PCV01Z,0.24139528775333663,0.3056721339229824,-0.06427684616964581,2
P2_SCST,x1003_18_SETPOINT_OUT,0.24007535221435777,0.29669167633403365,0.056616324119675876,2
P4_ST_PS,x1003_24_SUM_OUT,0.23960803558344393,0.43214847842910453,0.23960803558344393,2
P1_PCV01Z,P1_PP04D,0.23894641079011625,0.4417823377384447,0.20283592694832847,2
P1_FCV03D,P4_ST_TT01,0.23844379194538157,0.25190345926118285,0.23844379194538157,2
P1_FT03,P3_LIT01,0.23817746057271952,0.3416276880714779,-0.1034502274987584,2
P1_FCV03D,P1_TIT01,0.23794677536400272,0.2499979292834797,0.23794677536400272,2
P1_FT03,P2_VIBTR03,0.2372821894150854,0.35842884840085243,-0.2372821894150854,2
P1_FT01,P1_PCV02Z,0.23712165711165062,0.3473555512108486,-0.23712165711165062,2
P4_ST_PS,x1003_18_SETPOINT_OUT,0.236655951863408,0.4680788970958062,0.236655951863408,2
P1_FT02,P1_PIT02,0.23589939092290585,0.38363426543395096,0.1477348745110451,2
P1_PP04D,P1_TIT03,0.2358662448535366,0.2813055404426396,0.04543929558910301,2
P1_FT02Z,P1_PP04,0.23468513397894872,0.2528893128459918,0.01820417886704309,2
P1_PP04,x1003_10_SETPOINT_OUT,0.23446470613244216,0.2533417151751626,0.01887700904272041,2
P1_FT02,P1_PP04,0.2331214042983859,0.2505029422578153,0.017381537959429372,2
P1_PCV01Z,P2_ManualSD,0.23293162838775883,0.23293162838775883,-0.23293162838775883,1
P1_LCV01D,x1001_15_ASSIGN_OUT,0.23290257434764142,0.23917367296849995,0.23290257434764142,2
P4_ST_TT01,x1001_05_SETPOINT_OUT,0.23289392026674577,0.25045644719250204,0.017562526925756272,2
P1_PIT02,P1_TIT03,0.2327908194333807,0.23632257638780163,0.003531756954420942,2
P1_FT02Z,P1_LIT01,0.23255267376002875,0.2373604536606322,-0.004807779900603423,2
