feature,eligible_events,detected_responses,median_reaction_delay_seconds,median_peak_abs_deviation_sd,detected_recoveries,median_recovery_delay_seconds,right_censored_recoveries,response_rate,recovery_rate_among_responses,preexisting_excursion_events
P1_PP01AD,52,0,,,0,,0,0.0,,0
P1_PP01AR,52,0,,,0,,0,0.0,,0
P1_PP01BD,52,0,,,0,,0,0.0,,0
P1_PP01BR,52,0,,,0,,0,0.0,,0
P1_PP02D,52,0,,,0,,0,0.0,,0
P1_PP02R,52,0,,,0,,0,0.0,,0
P1_SOL01D,52,0,,,0,,0,0.0,,0
P1_SOL03D,52,0,,,0,,0,0.0,,0
P1_STSP,52,0,,,0,,0,0.0,,0
P2_RTR,52,0,,,0,,0,0.0,,0
P2_TripEx,52,0,,,0,,0,0.0,,0
P2_VTR01,52,0,,,0,,0,0.0,,0
P2_VTR02,52,0,,,0,,0,0.0,,0
P2_VTR03,52,0,,,0,,0,0.0,,0
P2_VTR04,52,0,,,0,,0,0.0,,0
P3_LH01,52,0,,,0,,0,0.0,,0
P3_LL01,52,0,,,0,,0,0.0,,0
