source_file,series_id,event_number,start_index_0based,end_index_0based,start_position_1based,end_position_1based,n_points,normal_gap_points_before
048_GHL_id_17_Sensor_tr_50000_1st_154001.csv,17,3,156689,157791,156690,157792,1103,130
048_GHL_id_17_Sensor_tr_50000_1st_154001.csv,17,4,157917,158000,157918,158001,84,125
049_GHL_id_18_Sensor_tr_50000_1st_109001.csv,18,1,109001,110680,109002,110681,1680,109001
049_GHL_id_18_Sensor_tr_50000_1st_109001.csv,18,2,110840,112364,110841,112365,1525,159
049_GHL_id_18_Sensor_tr_50000_1st_109001.csv,18,3,112509,113783,112510,113784,1275,144
049_GHL_id_18_Sensor_tr_50000_1st_109001.csv,18,4,113927,114995,113928,114996,1069,143
050_GHL_id_19_Sensor_tr_43750_1st_55001.csv,19,1,55001,56129,55002,56130,1129,55001
051_GHL_id_20_Sensor_tr_50000_1st_75110.csv,20,1,75110,76300,75111,76301,1191,75110
052_GHL_id_21_Sensor_tr_50000_1st_98001.csv,21,1,98001,98971,98002,98972,971,98001
053_GHL_id_22_Sensor_tr_50000_1st_126448.csv,22,1,126448,128310,126449,128311,1863,126448
053_GHL_id_22_Sensor_tr_50000_1st_126448.csv,22,2,128468,129889,128469,129890,1422,157
053_GHL_id_22_Sensor_tr_50000_1st_126448.csv,22,3,130045,131259,130046,131260,1215,155
053_GHL_id_22_Sensor_tr_50000_1st_126448.csv,22,4,131402,132440,131403,132441,1039,142
053_GHL_id_22_Sensor_tr_50000_1st_126448.csv,22,5,134048,135000,134049,135001,953,1607
054_GHL_id_23_Sensor_tr_50000_1st_135001.csv,23,1,135001,135878,135002,135879,878,135001
054_GHL_id_23_Sensor_tr_50000_1st_135001.csv,23,2,136025,137139,136026,137140,1115,146
054_GHL_id_23_Sensor_tr_50000_1st_135001.csv,23,3,138260,140000,138261,140001,1741,1120
055_GHL_id_24_Sensor_tr_50000_1st_118124.csv,24,1,118124,119132,118125,119133,1009,118124
056_GHL_id_25_Sensor_tr_50000_1st_105568.csv,25,1,105568,107305,105569,107306,1738,105568
056_GHL_id_25_Sensor_tr_50000_1st_105568.csv,25,2,107458,108756,107459,108757,1299,152
056_GHL_id_25_Sensor_tr_50000_1st_105568.csv,25,3,108894,109000,108895,109001,107,137
