series,ratio,window_size,original_train_length,fit_pool_length,kept_length,model_train_length,validation_length,train_window_count,validation_window_count,scaler_fit_observation_count,validation_transform_observation_count,feasible
17,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
17,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
18,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
18,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
18,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
18,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
18,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
18,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
18,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
19,0.05,5,43750,39375,1969,1969,4375,1964,4370,1969,4375,True
19,0.1,5,43750,39375,3938,3938,4375,3933,4370,3938,4375,True
19,0.2,5,43750,39375,7875,7875,4375,7870,4370,7875,4375,True
19,0.4,5,43750,39375,15750,15750,4375,15745,4370,15750,4375,True
19,0.6,5,43750,39375,23625,23625,4375,23620,4370,23625,4375,True
19,0.8,5,43750,39375,31500,31500,4375,31495,4370,31500,4375,True
19,1.0,5,43750,39375,39375,39375,4375,39370,4370,39375,4375,True
20,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
20,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
20,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
20,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
20,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
20,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
20,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
21,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
21,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
21,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
21,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
21,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
21,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
21,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
22,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
22,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
22,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
22,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
22,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
22,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
22,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
23,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
23,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
23,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
23,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
23,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
23,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
23,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
24,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
24,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
24,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
24,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
24,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
24,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
24,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
25,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
25,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
25,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
25,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
25,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
25,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
25,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
