dataset,training_scope,ratio,model,training_unit,source_session_count,model_instance_count,train_window_count_per_model,train_window_count_all_models,validation_window_count_per_model,validation_window_count_all_models,batch_size,drop_last,train_batches_per_epoch_per_model,train_batches_per_epoch_all_models,optimizer_steps_per_batch,optimizer_updates_per_epoch_per_model,optimizer_updates_per_epoch_all_models,validation_batches_per_model,validation_batches_all_models,max_epochs,maximum_optimizer_updates,early_stopping_rule,workload_status,actual_optimizer_updates_status,fit_validation_boundary_crossing_window_count,session_boundary_crossing_window_count,windows_excluded_to_preserve_session_boundaries
GHL,series_01,20,USAD,one_multivariate_model,1,1,8991,8991,4991,4991,128,False,71,71,2,142,142,39,39,70,9940,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_01,40,CI-AE,one_model_per_channel,1,19,17901,340119,4901,93119,128,True,139,2641,1,139,2641,39,741,50,132050,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,40,GDN,one_multivariate_model,1,1,17995,17995,4995,4995,32,False,563,563,1,563,563,157,157,50,28150,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,40,LSTM-AD,one_multivariate_model,1,1,17900,17900,4900,4900,128,False,140,140,1,140,140,39,39,50,7000,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,40,USAD,one_multivariate_model,1,1,17991,17991,4991,4991,128,False,141,141,2,282,282,39,39,70,19740,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_01,60,CI-AE,one_model_per_channel,1,19,26901,511119,4901,93119,128,True,210,3990,1,210,3990,39,741,50,199500,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,60,GDN,one_multivariate_model,1,1,26995,26995,4995,4995,32,False,844,844,1,844,844,157,157,50,42200,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,60,LSTM-AD,one_multivariate_model,1,1,26900,26900,4900,4900,128,False,211,211,1,211,211,39,39,50,10550,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,60,USAD,one_multivariate_model,1,1,26991,26991,4991,4991,128,False,211,211,2,422,422,39,39,70,29540,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_01,80,CI-AE,one_model_per_channel,1,19,35901,682119,4901,93119,128,True,280,5320,1,280,5320,39,741,50,266000,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,80,GDN,one_multivariate_model,1,1,35995,35995,4995,4995,32,False,1125,1125,1,1125,1125,157,157,50,56250,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,80,LSTM-AD,one_multivariate_model,1,1,35900,35900,4900,4900,128,False,281,281,1,281,281,39,39,50,14050,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,80,USAD,one_multivariate_model,1,1,35991,35991,4991,4991,128,False,282,282,2,564,564,39,39,70,39480,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_01,100,CI-AE,one_model_per_channel,1,19,44901,853119,4901,93119,128,True,350,6650,1,350,6650,39,741,50,332500,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,100,GDN,one_multivariate_model,1,1,44995,44995,4995,4995,32,False,1407,1407,1,1407,1407,157,157,50,70350,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,100,LSTM-AD,one_multivariate_model,1,1,44900,44900,4900,4900,128,False,351,351,1,351,351,39,39,50,17550,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,100,USAD,one_multivariate_model,1,1,44991,44991,4991,4991,128,False,352,352,2,704,704,39,39,70,49280,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_02,5,CI-AE,one_model_per_channel,1,19,2151,40869,4901,93119,128,True,16,304,1,16,304,39,741,50,15200,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,5,GDN,one_multivariate_model,1,1,2245,2245,4995,4995,32,False,71,71,1,71,71,157,157,50,3550,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,5,LSTM-AD,one_multivariate_model,1,1,2150,2150,4900,4900,128,False,17,17,1,17,17,39,39,50,850,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,5,USAD,one_multivariate_model,1,1,2241,2241,4991,4991,128,False,18,18,2,36,36,39,39,70,2520,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_02,10,CI-AE,one_model_per_channel,1,19,4401,83619,4901,93119,128,True,34,646,1,34,646,39,741,50,32300,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,10,GDN,one_multivariate_model,1,1,4495,4495,4995,4995,32,False,141,141,1,141,141,157,157,50,7050,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,10,LSTM-AD,one_multivariate_model,1,1,4400,4400,4900,4900,128,False,35,35,1,35,35,39,39,50,1750,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,10,USAD,one_multivariate_model,1,1,4491,4491,4991,4991,128,False,36,36,2,72,72,39,39,70,5040,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_02,20,CI-AE,one_model_per_channel,1,19,8901,169119,4901,93119,128,True,69,1311,1,69,1311,39,741,50,65550,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,20,GDN,one_multivariate_model,1,1,8995,8995,4995,4995,32,False,282,282,1,282,282,157,157,50,14100,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,20,LSTM-AD,one_multivariate_model,1,1,8900,8900,4900,4900,128,False,70,70,1,70,70,39,39,50,3500,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,20,USAD,one_multivariate_model,1,1,8991,8991,4991,4991,128,False,71,71,2,142,142,39,39,70,9940,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_02,40,CI-AE,one_model_per_channel,1,19,17901,340119,4901,93119,128,True,139,2641,1,139,2641,39,741,50,132050,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,40,GDN,one_multivariate_model,1,1,17995,17995,4995,4995,32,False,563,563,1,563,563,157,157,50,28150,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,40,LSTM-AD,one_multivariate_model,1,1,17900,17900,4900,4900,128,False,140,140,1,140,140,39,39,50,7000,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,40,USAD,one_multivariate_model,1,1,17991,17991,4991,4991,128,False,141,141,2,282,282,39,39,70,19740,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_02,60,CI-AE,one_model_per_channel,1,19,26901,511119,4901,93119,128,True,210,3990,1,210,3990,39,741,50,199500,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,60,GDN,one_multivariate_model,1,1,26995,26995,4995,4995,32,False,844,844,1,844,844,157,157,50,42200,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,60,LSTM-AD,one_multivariate_model,1,1,26900,26900,4900,4900,128,False,211,211,1,211,211,39,39,50,10550,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,60,USAD,one_multivariate_model,1,1,26991,26991,4991,4991,128,False,211,211,2,422,422,39,39,70,29540,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_02,80,CI-AE,one_model_per_channel,1,19,35901,682119,4901,93119,128,True,280,5320,1,280,5320,39,741,50,266000,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,80,GDN,one_multivariate_model,1,1,35995,35995,4995,4995,32,False,1125,1125,1,1125,1125,157,157,50,56250,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,80,LSTM-AD,one_multivariate_model,1,1,35900,35900,4900,4900,128,False,281,281,1,281,281,39,39,50,14050,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,80,USAD,one_multivariate_model,1,1,35991,35991,4991,4991,128,False,282,282,2,564,564,39,39,70,39480,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_02,100,CI-AE,one_model_per_channel,1,19,44901,853119,4901,93119,128,True,350,6650,1,350,6650,39,741,50,332500,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,100,GDN,one_multivariate_model,1,1,44995,44995,4995,4995,32,False,1407,1407,1,1407,1407,157,157,50,70350,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,100,LSTM-AD,one_multivariate_model,1,1,44900,44900,4900,4900,128,False,351,351,1,351,351,39,39,50,17550,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_02,100,USAD,one_multivariate_model,1,1,44991,44991,4991,4991,128,False,352,352,2,704,704,39,39,70,49280,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_03,5,CI-AE,one_model_per_channel,1,19,2151,40869,4901,93119,128,True,16,304,1,16,304,39,741,50,15200,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,5,GDN,one_multivariate_model,1,1,2245,2245,4995,4995,32,False,71,71,1,71,71,157,157,50,3550,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,5,LSTM-AD,one_multivariate_model,1,1,2150,2150,4900,4900,128,False,17,17,1,17,17,39,39,50,850,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,5,USAD,one_multivariate_model,1,1,2241,2241,4991,4991,128,False,18,18,2,36,36,39,39,70,2520,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_03,10,CI-AE,one_model_per_channel,1,19,4401,83619,4901,93119,128,True,34,646,1,34,646,39,741,50,32300,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,10,GDN,one_multivariate_model,1,1,4495,4495,4995,4995,32,False,141,141,1,141,141,157,157,50,7050,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,10,LSTM-AD,one_multivariate_model,1,1,4400,4400,4900,4900,128,False,35,35,1,35,35,39,39,50,1750,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,10,USAD,one_multivariate_model,1,1,4491,4491,4991,4991,128,False,36,36,2,72,72,39,39,70,5040,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_03,20,CI-AE,one_model_per_channel,1,19,8901,169119,4901,93119,128,True,69,1311,1,69,1311,39,741,50,65550,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,20,GDN,one_multivariate_model,1,1,8995,8995,4995,4995,32,False,282,282,1,282,282,157,157,50,14100,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,20,LSTM-AD,one_multivariate_model,1,1,8900,8900,4900,4900,128,False,70,70,1,70,70,39,39,50,3500,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,20,USAD,one_multivariate_model,1,1,8991,8991,4991,4991,128,False,71,71,2,142,142,39,39,70,9940,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_03,40,CI-AE,one_model_per_channel,1,19,17901,340119,4901,93119,128,True,139,2641,1,139,2641,39,741,50,132050,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,40,GDN,one_multivariate_model,1,1,17995,17995,4995,4995,32,False,563,563,1,563,563,157,157,50,28150,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,40,LSTM-AD,one_multivariate_model,1,1,17900,17900,4900,4900,128,False,140,140,1,140,140,39,39,50,7000,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,40,USAD,one_multivariate_model,1,1,17991,17991,4991,4991,128,False,141,141,2,282,282,39,39,70,19740,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_03,60,CI-AE,one_model_per_channel,1,19,26901,511119,4901,93119,128,True,210,3990,1,210,3990,39,741,50,199500,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,60,GDN,one_multivariate_model,1,1,26995,26995,4995,4995,32,False,844,844,1,844,844,157,157,50,42200,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,60,LSTM-AD,one_multivariate_model,1,1,26900,26900,4900,4900,128,False,211,211,1,211,211,39,39,50,10550,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,60,USAD,one_multivariate_model,1,1,26991,26991,4991,4991,128,False,211,211,2,422,422,39,39,70,29540,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_03,80,CI-AE,one_model_per_channel,1,19,35901,682119,4901,93119,128,True,280,5320,1,280,5320,39,741,50,266000,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,80,GDN,one_multivariate_model,1,1,35995,35995,4995,4995,32,False,1125,1125,1,1125,1125,157,157,50,56250,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,80,LSTM-AD,one_multivariate_model,1,1,35900,35900,4900,4900,128,False,281,281,1,281,281,39,39,50,14050,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,80,USAD,one_multivariate_model,1,1,35991,35991,4991,4991,128,False,282,282,2,564,564,39,39,70,39480,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_03,100,CI-AE,one_model_per_channel,1,19,44901,853119,4901,93119,128,True,350,6650,1,350,6650,39,741,50,332500,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,100,GDN,one_multivariate_model,1,1,44995,44995,4995,4995,32,False,1407,1407,1,1407,1407,157,157,50,70350,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,100,LSTM-AD,one_multivariate_model,1,1,44900,44900,4900,4900,128,False,351,351,1,351,351,39,39,50,17550,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_03,100,USAD,one_multivariate_model,1,1,44991,44991,4991,4991,128,False,352,352,2,704,704,39,39,70,49280,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_04,5,CI-AE,one_model_per_channel,1,19,2151,40869,4901,93119,128,True,16,304,1,16,304,39,741,50,15200,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,5,GDN,one_multivariate_model,1,1,2245,2245,4995,4995,32,False,71,71,1,71,71,157,157,50,3550,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,5,LSTM-AD,one_multivariate_model,1,1,2150,2150,4900,4900,128,False,17,17,1,17,17,39,39,50,850,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,5,USAD,one_multivariate_model,1,1,2241,2241,4991,4991,128,False,18,18,2,36,36,39,39,70,2520,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_04,10,CI-AE,one_model_per_channel,1,19,4401,83619,4901,93119,128,True,34,646,1,34,646,39,741,50,32300,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,10,GDN,one_multivariate_model,1,1,4495,4495,4995,4995,32,False,141,141,1,141,141,157,157,50,7050,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,10,LSTM-AD,one_multivariate_model,1,1,4400,4400,4900,4900,128,False,35,35,1,35,35,39,39,50,1750,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,10,USAD,one_multivariate_model,1,1,4491,4491,4991,4991,128,False,36,36,2,72,72,39,39,70,5040,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_04,20,CI-AE,one_model_per_channel,1,19,8901,169119,4901,93119,128,True,69,1311,1,69,1311,39,741,50,65550,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,20,GDN,one_multivariate_model,1,1,8995,8995,4995,4995,32,False,282,282,1,282,282,157,157,50,14100,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,20,LSTM-AD,one_multivariate_model,1,1,8900,8900,4900,4900,128,False,70,70,1,70,70,39,39,50,3500,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,20,USAD,one_multivariate_model,1,1,8991,8991,4991,4991,128,False,71,71,2,142,142,39,39,70,9940,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_04,40,CI-AE,one_model_per_channel,1,19,17901,340119,4901,93119,128,True,139,2641,1,139,2641,39,741,50,132050,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,40,GDN,one_multivariate_model,1,1,17995,17995,4995,4995,32,False,563,563,1,563,563,157,157,50,28150,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,40,LSTM-AD,one_multivariate_model,1,1,17900,17900,4900,4900,128,False,140,140,1,140,140,39,39,50,7000,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,40,USAD,one_multivariate_model,1,1,17991,17991,4991,4991,128,False,141,141,2,282,282,39,39,70,19740,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_04,60,CI-AE,one_model_per_channel,1,19,26901,511119,4901,93119,128,True,210,3990,1,210,3990,39,741,50,199500,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,60,GDN,one_multivariate_model,1,1,26995,26995,4995,4995,32,False,844,844,1,844,844,157,157,50,42200,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,60,LSTM-AD,one_multivariate_model,1,1,26900,26900,4900,4900,128,False,211,211,1,211,211,39,39,50,10550,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,60,USAD,one_multivariate_model,1,1,26991,26991,4991,4991,128,False,211,211,2,422,422,39,39,70,29540,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_04,80,CI-AE,one_model_per_channel,1,19,35901,682119,4901,93119,128,True,280,5320,1,280,5320,39,741,50,266000,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,80,GDN,one_multivariate_model,1,1,35995,35995,4995,4995,32,False,1125,1125,1,1125,1125,157,157,50,56250,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,80,LSTM-AD,one_multivariate_model,1,1,35900,35900,4900,4900,128,False,281,281,1,281,281,39,39,50,14050,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,80,USAD,one_multivariate_model,1,1,35991,35991,4991,4991,128,False,282,282,2,564,564,39,39,70,39480,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_04,100,CI-AE,one_model_per_channel,1,19,44901,853119,4901,93119,128,True,350,6650,1,350,6650,39,741,50,332500,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,100,GDN,one_multivariate_model,1,1,44995,44995,4995,4995,32,False,1407,1407,1,1407,1407,157,157,50,70350,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,100,LSTM-AD,one_multivariate_model,1,1,44900,44900,4900,4900,128,False,351,351,1,351,351,39,39,50,17550,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_04,100,USAD,one_multivariate_model,1,1,44991,44991,4991,4991,128,False,352,352,2,704,704,39,39,70,49280,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_05,5,CI-AE,one_model_per_channel,1,19,2151,40869,4901,93119,128,True,16,304,1,16,304,39,741,50,15200,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,5,GDN,one_multivariate_model,1,1,2245,2245,4995,4995,32,False,71,71,1,71,71,157,157,50,3550,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,5,LSTM-AD,one_multivariate_model,1,1,2150,2150,4900,4900,128,False,17,17,1,17,17,39,39,50,850,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,5,USAD,one_multivariate_model,1,1,2241,2241,4991,4991,128,False,18,18,2,36,36,39,39,70,2520,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_05,10,CI-AE,one_model_per_channel,1,19,4401,83619,4901,93119,128,True,34,646,1,34,646,39,741,50,32300,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,10,GDN,one_multivariate_model,1,1,4495,4495,4995,4995,32,False,141,141,1,141,141,157,157,50,7050,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,10,LSTM-AD,one_multivariate_model,1,1,4400,4400,4900,4900,128,False,35,35,1,35,35,39,39,50,1750,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,10,USAD,one_multivariate_model,1,1,4491,4491,4991,4991,128,False,36,36,2,72,72,39,39,70,5040,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_05,20,CI-AE,one_model_per_channel,1,19,8901,169119,4901,93119,128,True,69,1311,1,69,1311,39,741,50,65550,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,20,GDN,one_multivariate_model,1,1,8995,8995,4995,4995,32,False,282,282,1,282,282,157,157,50,14100,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,20,LSTM-AD,one_multivariate_model,1,1,8900,8900,4900,4900,128,False,70,70,1,70,70,39,39,50,3500,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,20,USAD,one_multivariate_model,1,1,8991,8991,4991,4991,128,False,71,71,2,142,142,39,39,70,9940,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_05,40,CI-AE,one_model_per_channel,1,19,17901,340119,4901,93119,128,True,139,2641,1,139,2641,39,741,50,132050,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,40,GDN,one_multivariate_model,1,1,17995,17995,4995,4995,32,False,563,563,1,563,563,157,157,50,28150,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,40,LSTM-AD,one_multivariate_model,1,1,17900,17900,4900,4900,128,False,140,140,1,140,140,39,39,50,7000,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,40,USAD,one_multivariate_model,1,1,17991,17991,4991,4991,128,False,141,141,2,282,282,39,39,70,19740,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_05,60,CI-AE,one_model_per_channel,1,19,26901,511119,4901,93119,128,True,210,3990,1,210,3990,39,741,50,199500,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,60,GDN,one_multivariate_model,1,1,26995,26995,4995,4995,32,False,844,844,1,844,844,157,157,50,42200,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,60,LSTM-AD,one_multivariate_model,1,1,26900,26900,4900,4900,128,False,211,211,1,211,211,39,39,50,10550,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,60,USAD,one_multivariate_model,1,1,26991,26991,4991,4991,128,False,211,211,2,422,422,39,39,70,29540,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_05,80,CI-AE,one_model_per_channel,1,19,35901,682119,4901,93119,128,True,280,5320,1,280,5320,39,741,50,266000,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,80,GDN,one_multivariate_model,1,1,35995,35995,4995,4995,32,False,1125,1125,1,1125,1125,157,157,50,56250,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,80,LSTM-AD,one_multivariate_model,1,1,35900,35900,4900,4900,128,False,281,281,1,281,281,39,39,50,14050,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,80,USAD,one_multivariate_model,1,1,35991,35991,4991,4991,128,False,282,282,2,564,564,39,39,70,39480,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_05,100,CI-AE,one_model_per_channel,1,19,44901,853119,4901,93119,128,True,350,6650,1,350,6650,39,741,50,332500,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,100,GDN,one_multivariate_model,1,1,44995,44995,4995,4995,32,False,1407,1407,1,1407,1407,157,157,50,70350,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_05,100,LSTM-AD,one_multivariate_model,1,1,44900,44900,4900,4900,128,False,351,351,1,351,351,39,39,50,17550,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
