series,ratio,kept_length,active_channel_count,variable_iqr_channel_count,interquartile_support_coverage,median_standardized_mean_gap,relationship_similarity
7,0.05,2500,13,8,0.5263157894736842,0.21722572674968685,0.3519730631461906
7,0.1,5000,13,6,0.631578947368421,0.1404709332750858,0.4009211047467035
7,0.2,10000,19,6,0.6842105263157895,0.023268101311689143,0.8136571173333761
7,0.5,25000,19,13,0.8421052631578947,0.0899624556034529,0.9361758708980086
7,1.0,50000,19,13,1.0,0.0,1.0
8,0.05,2500,13,8,0.5263157894736842,0.20130314388644158,0.3444599726884233
8,0.1,5000,13,6,0.631578947368421,0.16208655880472175,0.38251034056286565
8,0.2,10000,19,6,0.6842105263157895,0.10558916842874266,0.8510242082870293
8,0.5,25000,19,13,0.8947368421052632,0.07966392762977326,0.9330314251401841
8,1.0,50000,19,13,1.0,0.0,1.0
9,0.05,2500,13,8,0.5263157894736842,0.6385013839857708,0.3485436354286991
9,0.1,5000,13,6,0.5263157894736842,0.6352830878439109,0.36800010337660155
9,0.2,10000,19,6,0.6842105263157895,0.30856895669458567,0.8086642620621155
9,0.5,25000,19,13,0.8947368421052632,0.03379406624436824,0.9584059123691236
9,1.0,50000,19,13,1.0,0.0,1.0
10,0.05,2500,13,8,0.5263157894736842,0.16338149005814837,0.3523414972416007
10,0.1,5000,13,6,0.5263157894736842,0.16338149005814837,0.38516060201455676
10,0.2,10000,19,6,0.6842105263157895,0.20580868975891536,0.7995113234706038
10,0.5,25000,19,13,0.8947368421052632,0.09215507986823906,0.9550205337996917
10,1.0,50000,19,13,1.0,0.0,1.0
11,0.05,2500,13,8,0.5263157894736842,0.4666101358257373,0.3506892222649508
11,0.1,5000,13,6,0.5263157894736842,0.46660976696952694,0.37215266826664234
11,0.2,10000,19,6,0.6842105263157895,0.06261693764719896,0.8269019608656686
11,0.5,25000,19,13,0.7368421052631579,0.12071454247641704,0.9432155438728952
11,1.0,50000,19,13,1.0,0.0,1.0
12,0.05,1997,9,8,0.47368421052631576,0.4574253554446982,0.13810765673392209
12,0.1,3994,13,6,0.5263157894736842,0.39073789384875457,0.3502605854147866
12,0.2,7988,13,6,0.6842105263157895,0.3864512408769457,0.39734390321202534
12,0.5,19969,19,13,0.6842105263157895,0.20199622748721197,0.9014786168937301
12,1.0,39938,19,13,1.0,0.0,1.0
13,0.05,2500,13,8,0.5263157894736842,0.2447034415256022,0.3486977382907439
13,0.1,5000,13,6,0.631578947368421,0.1841863370537254,0.3948698840898572
13,0.2,10000,19,6,0.6842105263157895,0.13544964787687727,0.8339899343032253
13,0.5,25000,19,13,0.8947368421052632,0.030848989724356735,0.9457087565149349
13,1.0,50000,19,13,1.0,0.0,1.0
14,0.05,2500,13,8,0.5263157894736842,0.277490727004244,0.3440445577505205
14,0.1,5000,13,6,0.5263157894736842,0.27749009059801816,0.37863918100802624
14,0.2,10000,19,6,0.5789473684210527,0.11675447590352092,0.810653848877773
14,0.5,25000,19,13,0.7368421052631579,0.05696910913656966,0.9188980601661239
14,1.0,50000,19,13,1.0,0.0,1.0
15,0.05,2500,13,8,0.5263157894736842,0.717269924561755,0.35051314813594453
15,0.1,5000,13,6,0.5263157894736842,0.2223329297691064,0.40732633198589946
15,0.2,10000,19,6,0.6842105263157895,0.16527098234411766,0.8111224870211726
15,0.5,25000,19,13,0.6842105263157895,0.048932790222494894,0.9414831850074019
15,1.0,50000,19,13,1.0,0.0,1.0
16,0.05,2500,13,8,0.5263157894736842,0.2969953991524671,0.35957211874181794
16,0.1,5000,13,6,0.631578947368421,0.18209469318675423,0.38305207775664823
16,0.2,10000,19,6,0.6842105263157895,0.13804914434452845,0.8129089797741915
16,0.5,25000,19,13,0.7368421052631579,0.05184384397087525,0.9034664692694395
16,1.0,50000,19,13,1.0,0.0,1.0
17,0.05,2500,13,8,0.5789473684210527,0.25711943575791973,0.34996089847452283
17,0.1,5000,13,6,0.5789473684210527,0.1681131421949685,0.39586760597200177
17,0.2,10000,19,6,0.7368421052631579,0.2594011546417121,0.8149078756235456
17,0.5,25000,19,13,0.7368421052631579,0.040641873257125254,0.9247048825161907
17,1.0,50000,19,13,1.0,0.0,1.0
18,0.05,2500,13,8,0.5263157894736842,0.6300637231066298,0.35251177118230914
18,0.1,5000,13,6,0.631578947368421,0.4669913891323901,0.3953237503217349
18,0.2,10000,19,6,0.6842105263157895,0.418150739693369,0.8226796094045349
18,0.5,25000,19,13,0.8947368421052632,0.1137660937800522,0.9467960498047074
18,1.0,50000,19,13,1.0,0.0,1.0
19,0.05,2188,13,4,0.5263157894736842,0.267458503169854,0.36092753609132255
19,0.1,4375,13,4,0.631578947368421,0.24115636022640746,0.3894234149544196
19,0.2,8750,18,12,0.6842105263157895,0.10905477536031326,0.7726800906457966
19,0.5,21875,19,13,0.8947368421052632,0.03734522053470289,0.9074743268922907
19,1.0,43750,19,13,1.0,0.0,1.0
20,0.05,2500,13,8,0.5263157894736842,0.5422184541413638,0.34489654070456843
20,0.1,5000,13,6,0.631578947368421,0.5070038623801584,0.3705801872048429
20,0.2,10000,19,6,0.6842105263157895,0.29819616710369645,0.8143748930263632
20,0.5,25000,19,13,0.8947368421052632,0.062387031035333995,0.9026709566256003
20,1.0,50000,19,13,1.0,0.0,1.0
21,0.05,2500,13,8,0.5263157894736842,0.2414211783478434,0.35389335490057355
21,0.1,5000,13,6,0.5263157894736842,0.19471437874747333,0.3662485840949703
21,0.2,10000,19,6,0.6842105263157895,0.10804981618815408,0.8183254985385495
21,0.5,25000,19,13,0.8947368421052632,0.051411491675694386,0.936715074349716
21,1.0,50000,19,13,1.0,0.0,1.0
22,0.05,2500,13,8,0.5263157894736842,0.2930272866618546,0.3422742684902946
22,0.1,5000,13,6,0.5263157894736842,0.25489835239457126,0.3932893253122092
22,0.2,10000,19,6,0.6842105263157895,0.10604139108851132,0.7715350933433127
22,0.5,25000,19,13,0.8421052631578947,0.1193056551528424,0.9281030954980495
22,1.0,50000,19,13,1.0,0.0,1.0
23,0.05,2500,13,8,0.5263157894736842,0.5131433069287267,0.3528891338394972
23,0.1,5000,13,6,0.5263157894736842,0.2451539742222136,0.38682970484710527
23,0.2,10000,19,6,0.6842105263157895,0.3248815437197401,0.828377072109765
23,0.5,25000,19,13,0.8947368421052632,0.161140730485897,0.9431855716439569
23,1.0,50000,19,13,1.0,0.0,1.0
24,0.05,2500,13,8,0.5263157894736842,0.40193314940758346,0.3584844463907623
24,0.1,5000,13,6,0.5263157894736842,0.40193314940758346,0.3764335333144273
24,0.2,10000,19,6,0.6842105263157895,0.18872224521671951,0.8226160685884093
24,0.5,25000,19,13,0.8947368421052632,0.04168564784704092,0.9618609646601769
24,1.0,50000,19,13,1.0,0.0,1.0
25,0.05,2500,13,8,0.5263157894736842,0.5572410250931932,0.35065772366316156
25,0.1,5000,13,6,0.5263157894736842,0.2561226845606921,0.36459616782778614
25,0.2,10000,19,6,0.6842105263157895,0.04409104823163062,0.819162481338315
25,0.5,25000,19,13,0.6842105263157895,0.18933843773842982,0.8896559662952811
25,1.0,50000,19,13,1.0,0.0,1.0
