file_name,archive_index,series,train_boundary,first_anomaly_index,total_length,train_length,test_length,feature_count,column_count_with_label,train_missing_value_count,test_missing_value_count,train_anomaly_count,test_anomaly_count,test_anomaly_ratio,observed_first_anomaly_index,first_anomaly_matches_filename,file_bytes,sha256
042_GHL_id_11_Sensor_tr_50000_1st_150001.csv,42,11,50000,150001,200001,50000,150001,19,20,0,0,0,1546,0.010306597956013627,150001,True,39802065,8c307d1e40d454dfef438794ce4c7532c21edd536fb924f23d8868666fc487a0
043_GHL_id_12_Sensor_tr_39938_1st_40038.csv,43,12,39938,40038,200001,39938,160063,19,20,0,0,0,1051,0.0065661645726995,40038,True,39370743,8c04980a4fd7fc14db8cfe4b520b83a4604c4a783345f69aa2a5c86b4d98dc8b
044_GHL_id_13_Sensor_tr_50000_1st_145001.csv,44,13,50000,145001,200001,50000,150001,19,20,0,0,0,1849,0.012326584489436737,145001,True,39657556,9b2d360bc5164ebbfd640068bb09a50ee1fe91d6713b74b642d77eb633875121
045_GHL_id_14_Sensor_tr_50000_1st_85076.csv,45,14,50000,85076,200001,50000,150001,19,20,0,0,0,1771,0.011806587956080293,85076,True,39647618,25e4714e17820bf1053010640001254b67d3bf0fbcd2e4315001d2ce5e770512
046_GHL_id_15_Sensor_tr_50000_1st_156462.csv,46,15,50000,156462,200001,50000,150001,19,20,0,0,0,1239,0.008259944933700442,156462,True,39741008,5ad0d9f15be78c934ddda385c8ebfcdfd2b4746c413012982dd26127be0ad58d
047_GHL_id_16_Sensor_tr_50000_1st_77001.csv,47,16,50000,77001,200001,50000,150001,19,20,0,0,0,2728,0.018186545423030512,77001,True,39600308,ee818c8635ec2b3b5e1c105563a1355f03029b075c0a87be6d200a9e3e6958ad
048_GHL_id_17_Sensor_tr_50000_1st_154001.csv,48,17,50000,154001,200001,50000,150001,19,20,0,0,0,3583,0.023886507423283843,154001,True,39691740,775f99987e7da41448b54f4712c6a3496295b5179f5e73113682e39adea79bcb
049_GHL_id_18_Sensor_tr_50000_1st_109001.csv,49,18,50000,109001,200001,50000,150001,19,20,0,0,0,5549,0.036993086712755245,109001,True,39709764,3097f30211eef2c905ca8b74066c56b0b365a32c5897fe4096b828e1bdf87f7e
050_GHL_id_19_Sensor_tr_43750_1st_55001.csv,50,19,43750,55001,175001,43750,131251,19,20,0,0,0,1129,0.008601839224082102,55001,True,35051769,de6e2cc8d8f0677368d7832d0d5f1c9ebcef00bf126d43af1488e9f4ae07c175
051_GHL_id_20_Sensor_tr_50000_1st_75110.csv,51,20,50000,75110,200001,50000,150001,19,20,0,0,0,1191,0.007939947067019552,75110,True,39663579,a8e7777f1b7ab1a71d3de28ce18be41df694ed0c0e0d2b629afdfbd166ea1936
052_GHL_id_21_Sensor_tr_50000_1st_98001.csv,52,21,50000,98001,200001,50000,150001,19,20,0,0,0,971,0.0064732901780654795,98001,True,39834900,ea2f12fb0de6b5f1c2e30e167e54ad6d67fc06704acc7d005efd616f076d1f82
053_GHL_id_22_Sensor_tr_50000_1st_126448.csv,53,22,50000,126448,200001,50000,150001,19,20,0,0,0,6492,0.04327971146859021,126448,True,39686090,1fbc987d64f34ed6e262c4ad58262d2ff414ef88cb3ed6e48854f94231b69247
054_GHL_id_23_Sensor_tr_50000_1st_135001.csv,54,23,50000,135001,200001,50000,150001,19,20,0,0,0,3734,0.02489316737888414,135001,True,39489437,5c2d5f58899de9f5fa6c4af7156741ab08ea27957e02c0b5b1b2ddc38ec68a9e
055_GHL_id_24_Sensor_tr_50000_1st_118124.csv,55,24,50000,118124,200001,50000,150001,19,20,0,0,0,1009,0.0067266218225211834,118124,True,39505229,4e0e95b9906262f70e8db57c8d2068514b2252264e500459523ae70b17ed523e
056_GHL_id_25_Sensor_tr_50000_1st_105568.csv,56,25,50000,105568,200001,50000,150001,19,20,0,0,0,3144,0.020959860267598215,105568,True,39796059,a8e2c8a5408625df1a37e8c161fd99be58388ede3ced237355c4313366b49104
