series,ratio,window_size,original_train_length,kept_length,model_train_length,validation_length,train_window_count,validation_window_count,normalization_sample_count,feasible
4,0.2,155,50000,10000,9000,1000,8845,845,9845,True
4,0.5,5,50000,25000,22500,2500,22495,2495,24995,True
4,0.5,15,50000,25000,22500,2500,22485,2485,24985,True
4,0.5,50,50000,25000,22500,2500,22450,2450,24950,True
4,0.5,55,50000,25000,22500,2500,22445,2445,24945,True
4,0.5,155,50000,25000,22500,2500,22345,2345,24845,True
4,1.0,5,50000,50000,45000,5000,44995,4995,49995,True
4,1.0,15,50000,50000,45000,5000,44985,4985,49985,True
4,1.0,50,50000,50000,45000,5000,44950,4950,49950,True
4,1.0,55,50000,50000,45000,5000,44945,4945,49945,True
4,1.0,155,50000,50000,45000,5000,44845,4845,49845,True
5,0.05,5,50000,2500,2250,250,2245,245,2495,True
5,0.05,15,50000,2500,2250,250,2235,235,2485,True
5,0.05,50,50000,2500,2250,250,2200,200,2450,True
5,0.05,55,50000,2500,2250,250,2195,195,2445,True
5,0.05,155,50000,2500,2250,250,2095,95,2345,True
5,0.1,5,50000,5000,4500,500,4495,495,4995,True
5,0.1,15,50000,5000,4500,500,4485,485,4985,True
5,0.1,50,50000,5000,4500,500,4450,450,4950,True
5,0.1,55,50000,5000,4500,500,4445,445,4945,True
5,0.1,155,50000,5000,4500,500,4345,345,4845,True
5,0.2,5,50000,10000,9000,1000,8995,995,9995,True
5,0.2,15,50000,10000,9000,1000,8985,985,9985,True
5,0.2,50,50000,10000,9000,1000,8950,950,9950,True
5,0.2,55,50000,10000,9000,1000,8945,945,9945,True
5,0.2,155,50000,10000,9000,1000,8845,845,9845,True
5,0.5,5,50000,25000,22500,2500,22495,2495,24995,True
5,0.5,15,50000,25000,22500,2500,22485,2485,24985,True
5,0.5,50,50000,25000,22500,2500,22450,2450,24950,True
5,0.5,55,50000,25000,22500,2500,22445,2445,24945,True
5,0.5,155,50000,25000,22500,2500,22345,2345,24845,True
5,1.0,5,50000,50000,45000,5000,44995,4995,49995,True
5,1.0,15,50000,50000,45000,5000,44985,4985,49985,True
5,1.0,50,50000,50000,45000,5000,44950,4950,49950,True
5,1.0,55,50000,50000,45000,5000,44945,4945,49945,True
5,1.0,155,50000,50000,45000,5000,44845,4845,49845,True
6,0.05,5,50000,2500,2250,250,2245,245,2495,True
6,0.05,15,50000,2500,2250,250,2235,235,2485,True
6,0.05,50,50000,2500,2250,250,2200,200,2450,True
6,0.05,55,50000,2500,2250,250,2195,195,2445,True
6,0.05,155,50000,2500,2250,250,2095,95,2345,True
6,0.1,5,50000,5000,4500,500,4495,495,4995,True
6,0.1,15,50000,5000,4500,500,4485,485,4985,True
6,0.1,50,50000,5000,4500,500,4450,450,4950,True
6,0.1,55,50000,5000,4500,500,4445,445,4945,True
6,0.1,155,50000,5000,4500,500,4345,345,4845,True
6,0.2,5,50000,10000,9000,1000,8995,995,9995,True
6,0.2,15,50000,10000,9000,1000,8985,985,9985,True
6,0.2,50,50000,10000,9000,1000,8950,950,9950,True
6,0.2,55,50000,10000,9000,1000,8945,945,9945,True
6,0.2,155,50000,10000,9000,1000,8845,845,9845,True
6,0.5,5,50000,25000,22500,2500,22495,2495,24995,True
6,0.5,15,50000,25000,22500,2500,22485,2485,24985,True
6,0.5,50,50000,25000,22500,2500,22450,2450,24950,True
6,0.5,55,50000,25000,22500,2500,22445,2445,24945,True
6,0.5,155,50000,25000,22500,2500,22345,2345,24845,True
6,1.0,5,50000,50000,45000,5000,44995,4995,49995,True
6,1.0,15,50000,50000,45000,5000,44985,4985,49985,True
6,1.0,50,50000,50000,45000,5000,44950,4950,49950,True
6,1.0,55,50000,50000,45000,5000,44945,4945,49945,True
6,1.0,155,50000,50000,45000,5000,44845,4845,49845,True
7,0.05,5,50000,2500,2250,250,2245,245,2495,True
7,0.05,15,50000,2500,2250,250,2235,235,2485,True
7,0.05,50,50000,2500,2250,250,2200,200,2450,True
7,0.05,55,50000,2500,2250,250,2195,195,2445,True
7,0.05,155,50000,2500,2250,250,2095,95,2345,True
7,0.1,5,50000,5000,4500,500,4495,495,4995,True
7,0.1,15,50000,5000,4500,500,4485,485,4985,True
7,0.1,50,50000,5000,4500,500,4450,450,4950,True
7,0.1,55,50000,5000,4500,500,4445,445,4945,True
7,0.1,155,50000,5000,4500,500,4345,345,4845,True
7,0.2,5,50000,10000,9000,1000,8995,995,9995,True
7,0.2,15,50000,10000,9000,1000,8985,985,9985,True
7,0.2,50,50000,10000,9000,1000,8950,950,9950,True
7,0.2,55,50000,10000,9000,1000,8945,945,9945,True
7,0.2,155,50000,10000,9000,1000,8845,845,9845,True
7,0.5,5,50000,25000,22500,2500,22495,2495,24995,True
7,0.5,15,50000,25000,22500,2500,22485,2485,24985,True
7,0.5,50,50000,25000,22500,2500,22450,2450,24950,True
7,0.5,55,50000,25000,22500,2500,22445,2445,24945,True
7,0.5,155,50000,25000,22500,2500,22345,2345,24845,True
7,1.0,5,50000,50000,45000,5000,44995,4995,49995,True
7,1.0,15,50000,50000,45000,5000,44985,4985,49985,True
7,1.0,50,50000,50000,45000,5000,44950,4950,49950,True
7,1.0,55,50000,50000,45000,5000,44945,4945,49945,True
7,1.0,155,50000,50000,45000,5000,44845,4845,49845,True
8,0.05,5,50000,2500,2250,250,2245,245,2495,True
8,0.05,15,50000,2500,2250,250,2235,235,2485,True
8,0.05,50,50000,2500,2250,250,2200,200,2450,True
8,0.05,55,50000,2500,2250,250,2195,195,2445,True
8,0.05,155,50000,2500,2250,250,2095,95,2345,True
8,0.1,5,50000,5000,4500,500,4495,495,4995,True
8,0.1,15,50000,5000,4500,500,4485,485,4985,True
8,0.1,50,50000,5000,4500,500,4450,450,4950,True
8,0.1,55,50000,5000,4500,500,4445,445,4945,True
8,0.1,155,50000,5000,4500,500,4345,345,4845,True
8,0.2,5,50000,10000,9000,1000,8995,995,9995,True
8,0.2,15,50000,10000,9000,1000,8985,985,9985,True
8,0.2,50,50000,10000,9000,1000,8950,950,9950,True
8,0.2,55,50000,10000,9000,1000,8945,945,9945,True
8,0.2,155,50000,10000,9000,1000,8845,845,9845,True
8,0.5,5,50000,25000,22500,2500,22495,2495,24995,True
8,0.5,15,50000,25000,22500,2500,22485,2485,24985,True
8,0.5,50,50000,25000,22500,2500,22450,2450,24950,True
8,0.5,55,50000,25000,22500,2500,22445,2445,24945,True
8,0.5,155,50000,25000,22500,2500,22345,2345,24845,True
8,1.0,5,50000,50000,45000,5000,44995,4995,49995,True
8,1.0,15,50000,50000,45000,5000,44985,4985,49985,True
8,1.0,50,50000,50000,45000,5000,44950,4950,49950,True
8,1.0,55,50000,50000,45000,5000,44945,4945,49945,True
8,1.0,155,50000,50000,45000,5000,44845,4845,49845,True
9,0.05,5,50000,2500,2250,250,2245,245,2495,True
9,0.05,15,50000,2500,2250,250,2235,235,2485,True
9,0.05,50,50000,2500,2250,250,2200,200,2450,True
9,0.05,55,50000,2500,2250,250,2195,195,2445,True
9,0.05,155,50000,2500,2250,250,2095,95,2345,True
9,0.1,5,50000,5000,4500,500,4495,495,4995,True
9,0.1,15,50000,5000,4500,500,4485,485,4985,True
9,0.1,50,50000,5000,4500,500,4450,450,4950,True
9,0.1,55,50000,5000,4500,500,4445,445,4945,True
9,0.1,155,50000,5000,4500,500,4345,345,4845,True
9,0.2,5,50000,10000,9000,1000,8995,995,9995,True
9,0.2,15,50000,10000,9000,1000,8985,985,9985,True
9,0.2,50,50000,10000,9000,1000,8950,950,9950,True
9,0.2,55,50000,10000,9000,1000,8945,945,9945,True
9,0.2,155,50000,10000,9000,1000,8845,845,9845,True
9,0.5,5,50000,25000,22500,2500,22495,2495,24995,True
9,0.5,15,50000,25000,22500,2500,22485,2485,24985,True
9,0.5,50,50000,25000,22500,2500,22450,2450,24950,True
9,0.5,55,50000,25000,22500,2500,22445,2445,24945,True
9,0.5,155,50000,25000,22500,2500,22345,2345,24845,True
9,1.0,5,50000,50000,45000,5000,44995,4995,49995,True
9,1.0,15,50000,50000,45000,5000,44985,4985,49985,True
9,1.0,50,50000,50000,45000,5000,44950,4950,49950,True
9,1.0,55,50000,50000,45000,5000,44945,4945,49945,True
9,1.0,155,50000,50000,45000,5000,44845,4845,49845,True
10,0.05,5,50000,2500,2250,250,2245,245,2495,True
10,0.05,15,50000,2500,2250,250,2235,235,2485,True
10,0.05,50,50000,2500,2250,250,2200,200,2450,True
10,0.05,55,50000,2500,2250,250,2195,195,2445,True
10,0.05,155,50000,2500,2250,250,2095,95,2345,True
10,0.1,5,50000,5000,4500,500,4495,495,4995,True
10,0.1,15,50000,5000,4500,500,4485,485,4985,True
10,0.1,50,50000,5000,4500,500,4450,450,4950,True
10,0.1,55,50000,5000,4500,500,4445,445,4945,True
10,0.1,155,50000,5000,4500,500,4345,345,4845,True
10,0.2,5,50000,10000,9000,1000,8995,995,9995,True
10,0.2,15,50000,10000,9000,1000,8985,985,9985,True
10,0.2,50,50000,10000,9000,1000,8950,950,9950,True
10,0.2,55,50000,10000,9000,1000,8945,945,9945,True
10,0.2,155,50000,10000,9000,1000,8845,845,9845,True
10,0.5,5,50000,25000,22500,2500,22495,2495,24995,True
10,0.5,15,50000,25000,22500,2500,22485,2485,24985,True
10,0.5,50,50000,25000,22500,2500,22450,2450,24950,True
10,0.5,55,50000,25000,22500,2500,22445,2445,24945,True
10,0.5,155,50000,25000,22500,2500,22345,2345,24845,True
10,1.0,5,50000,50000,45000,5000,44995,4995,49995,True
10,1.0,15,50000,50000,45000,5000,44985,4985,49985,True
10,1.0,50,50000,50000,45000,5000,44950,4950,49950,True
10,1.0,55,50000,50000,45000,5000,44945,4945,49945,True
10,1.0,155,50000,50000,45000,5000,44845,4845,49845,True
11,0.05,5,50000,2500,2250,250,2245,245,2495,True
11,0.05,15,50000,2500,2250,250,2235,235,2485,True
11,0.05,50,50000,2500,2250,250,2200,200,2450,True
11,0.05,55,50000,2500,2250,250,2195,195,2445,True
11,0.05,155,50000,2500,2250,250,2095,95,2345,True
11,0.1,5,50000,5000,4500,500,4495,495,4995,True
11,0.1,15,50000,5000,4500,500,4485,485,4985,True
11,0.1,50,50000,5000,4500,500,4450,450,4950,True
11,0.1,55,50000,5000,4500,500,4445,445,4945,True
11,0.1,155,50000,5000,4500,500,4345,345,4845,True
11,0.2,5,50000,10000,9000,1000,8995,995,9995,True
11,0.2,15,50000,10000,9000,1000,8985,985,9985,True
11,0.2,50,50000,10000,9000,1000,8950,950,9950,True
11,0.2,55,50000,10000,9000,1000,8945,945,9945,True
11,0.2,155,50000,10000,9000,1000,8845,845,9845,True
11,0.5,5,50000,25000,22500,2500,22495,2495,24995,True
11,0.5,15,50000,25000,22500,2500,22485,2485,24985,True
11,0.5,50,50000,25000,22500,2500,22450,2450,24950,True
11,0.5,55,50000,25000,22500,2500,22445,2445,24945,True
11,0.5,155,50000,25000,22500,2500,22345,2345,24845,True
11,1.0,5,50000,50000,45000,5000,44995,4995,49995,True
11,1.0,15,50000,50000,45000,5000,44985,4985,49985,True
11,1.0,50,50000,50000,45000,5000,44950,4950,49950,True
11,1.0,55,50000,50000,45000,5000,44945,4945,49945,True
11,1.0,155,50000,50000,45000,5000,44845,4845,49845,True
12,0.05,5,39938,1997,1797,200,1792,195,1992,True
12,0.05,15,39938,1997,1797,200,1782,185,1982,True
12,0.05,50,39938,1997,1797,200,1747,150,1947,True
12,0.05,55,39938,1997,1797,200,1742,145,1942,True
12,0.05,155,39938,1997,1797,200,1642,45,1842,True
12,0.1,5,39938,3994,3594,400,3589,395,3989,True
12,0.1,15,39938,3994,3594,400,3579,385,3979,True
12,0.1,50,39938,3994,3594,400,3544,350,3944,True
12,0.1,55,39938,3994,3594,400,3539,345,3939,True
12,0.1,155,39938,3994,3594,400,3439,245,3839,True
12,0.2,5,39938,7988,7189,799,7184,794,7983,True
12,0.2,15,39938,7988,7189,799,7174,784,7973,True
12,0.2,50,39938,7988,7189,799,7139,749,7938,True
12,0.2,55,39938,7988,7189,799,7134,744,7933,True
12,0.2,155,39938,7988,7189,799,7034,644,7833,True
12,0.5,5,39938,19969,17972,1997,17967,1992,19964,True
12,0.5,15,39938,19969,17972,1997,17957,1982,19954,True
12,0.5,50,39938,19969,17972,1997,17922,1947,19919,True
12,0.5,55,39938,19969,17972,1997,17917,1942,19914,True
12,0.5,155,39938,19969,17972,1997,17817,1842,19814,True
12,1.0,5,39938,39938,35944,3994,35939,3989,39933,True
12,1.0,15,39938,39938,35944,3994,35929,3979,39923,True
12,1.0,50,39938,39938,35944,3994,35894,3944,39888,True
12,1.0,55,39938,39938,35944,3994,35889,3939,39883,True
12,1.0,155,39938,39938,35944,3994,35789,3839,39783,True
13,0.05,5,50000,2500,2250,250,2245,245,2495,True
13,0.05,15,50000,2500,2250,250,2235,235,2485,True
13,0.05,50,50000,2500,2250,250,2200,200,2450,True
13,0.05,55,50000,2500,2250,250,2195,195,2445,True
13,0.05,155,50000,2500,2250,250,2095,95,2345,True
13,0.1,5,50000,5000,4500,500,4495,495,4995,True
13,0.1,15,50000,5000,4500,500,4485,485,4985,True
13,0.1,50,50000,5000,4500,500,4450,450,4950,True
13,0.1,55,50000,5000,4500,500,4445,445,4945,True
13,0.1,155,50000,5000,4500,500,4345,345,4845,True
13,0.2,5,50000,10000,9000,1000,8995,995,9995,True
13,0.2,15,50000,10000,9000,1000,8985,985,9985,True
13,0.2,50,50000,10000,9000,1000,8950,950,9950,True
13,0.2,55,50000,10000,9000,1000,8945,945,9945,True
13,0.2,155,50000,10000,9000,1000,8845,845,9845,True
13,0.5,5,50000,25000,22500,2500,22495,2495,24995,True
13,0.5,15,50000,25000,22500,2500,22485,2485,24985,True
13,0.5,50,50000,25000,22500,2500,22450,2450,24950,True
13,0.5,55,50000,25000,22500,2500,22445,2445,24945,True
13,0.5,155,50000,25000,22500,2500,22345,2345,24845,True
13,1.0,5,50000,50000,45000,5000,44995,4995,49995,True
13,1.0,15,50000,50000,45000,5000,44985,4985,49985,True
13,1.0,50,50000,50000,45000,5000,44950,4950,49950,True
13,1.0,55,50000,50000,45000,5000,44945,4945,49945,True
13,1.0,155,50000,50000,45000,5000,44845,4845,49845,True
14,0.05,5,50000,2500,2250,250,2245,245,2495,True
14,0.05,15,50000,2500,2250,250,2235,235,2485,True
14,0.05,50,50000,2500,2250,250,2200,200,2450,True
14,0.05,55,50000,2500,2250,250,2195,195,2445,True
14,0.05,155,50000,2500,2250,250,2095,95,2345,True
14,0.1,5,50000,5000,4500,500,4495,495,4995,True
14,0.1,15,50000,5000,4500,500,4485,485,4985,True
14,0.1,50,50000,5000,4500,500,4450,450,4950,True
14,0.1,55,50000,5000,4500,500,4445,445,4945,True
14,0.1,155,50000,5000,4500,500,4345,345,4845,True
14,0.2,5,50000,10000,9000,1000,8995,995,9995,True
14,0.2,15,50000,10000,9000,1000,8985,985,9985,True
14,0.2,50,50000,10000,9000,1000,8950,950,9950,True
14,0.2,55,50000,10000,9000,1000,8945,945,9945,True
14,0.2,155,50000,10000,9000,1000,8845,845,9845,True
14,0.5,5,50000,25000,22500,2500,22495,2495,24995,True
14,0.5,15,50000,25000,22500,2500,22485,2485,24985,True
14,0.5,50,50000,25000,22500,2500,22450,2450,24950,True
14,0.5,55,50000,25000,22500,2500,22445,2445,24945,True
14,0.5,155,50000,25000,22500,2500,22345,2345,24845,True
14,1.0,5,50000,50000,45000,5000,44995,4995,49995,True
14,1.0,15,50000,50000,45000,5000,44985,4985,49985,True
14,1.0,50,50000,50000,45000,5000,44950,4950,49950,True
14,1.0,55,50000,50000,45000,5000,44945,4945,49945,True
14,1.0,155,50000,50000,45000,5000,44845,4845,49845,True
15,0.05,5,50000,2500,2250,250,2245,245,2495,True
15,0.05,15,50000,2500,2250,250,2235,235,2485,True
15,0.05,50,50000,2500,2250,250,2200,200,2450,True
15,0.05,55,50000,2500,2250,250,2195,195,2445,True
15,0.05,155,50000,2500,2250,250,2095,95,2345,True
15,0.1,5,50000,5000,4500,500,4495,495,4995,True
15,0.1,15,50000,5000,4500,500,4485,485,4985,True
15,0.1,50,50000,5000,4500,500,4450,450,4950,True
15,0.1,55,50000,5000,4500,500,4445,445,4945,True
15,0.1,155,50000,5000,4500,500,4345,345,4845,True
15,0.2,5,50000,10000,9000,1000,8995,995,9995,True
15,0.2,15,50000,10000,9000,1000,8985,985,9985,True
15,0.2,50,50000,10000,9000,1000,8950,950,9950,True
15,0.2,55,50000,10000,9000,1000,8945,945,9945,True
15,0.2,155,50000,10000,9000,1000,8845,845,9845,True
15,0.5,5,50000,25000,22500,2500,22495,2495,24995,True
15,0.5,15,50000,25000,22500,2500,22485,2485,24985,True
15,0.5,50,50000,25000,22500,2500,22450,2450,24950,True
15,0.5,55,50000,25000,22500,2500,22445,2445,24945,True
15,0.5,155,50000,25000,22500,2500,22345,2345,24845,True
15,1.0,5,50000,50000,45000,5000,44995,4995,49995,True
15,1.0,15,50000,50000,45000,5000,44985,4985,49985,True
15,1.0,50,50000,50000,45000,5000,44950,4950,49950,True
15,1.0,55,50000,50000,45000,5000,44945,4945,49945,True
15,1.0,155,50000,50000,45000,5000,44845,4845,49845,True
16,0.05,5,50000,2500,2250,250,2245,245,2495,True
16,0.05,15,50000,2500,2250,250,2235,235,2485,True
16,0.05,50,50000,2500,2250,250,2200,200,2450,True
16,0.05,55,50000,2500,2250,250,2195,195,2445,True
16,0.05,155,50000,2500,2250,250,2095,95,2345,True
16,0.1,5,50000,5000,4500,500,4495,495,4995,True
16,0.1,15,50000,5000,4500,500,4485,485,4985,True
16,0.1,50,50000,5000,4500,500,4450,450,4950,True
16,0.1,55,50000,5000,4500,500,4445,445,4945,True
16,0.1,155,50000,5000,4500,500,4345,345,4845,True
16,0.2,5,50000,10000,9000,1000,8995,995,9995,True
16,0.2,15,50000,10000,9000,1000,8985,985,9985,True
16,0.2,50,50000,10000,9000,1000,8950,950,9950,True
16,0.2,55,50000,10000,9000,1000,8945,945,9945,True
16,0.2,155,50000,10000,9000,1000,8845,845,9845,True
16,0.5,5,50000,25000,22500,2500,22495,2495,24995,True
16,0.5,15,50000,25000,22500,2500,22485,2485,24985,True
16,0.5,50,50000,25000,22500,2500,22450,2450,24950,True
16,0.5,55,50000,25000,22500,2500,22445,2445,24945,True
16,0.5,155,50000,25000,22500,2500,22345,2345,24845,True
16,1.0,5,50000,50000,45000,5000,44995,4995,49995,True
16,1.0,15,50000,50000,45000,5000,44985,4985,49985,True
16,1.0,50,50000,50000,45000,5000,44950,4950,49950,True
16,1.0,55,50000,50000,45000,5000,44945,4945,49945,True
16,1.0,155,50000,50000,45000,5000,44845,4845,49845,True
17,0.05,5,50000,2500,2250,250,2245,245,2495,True
17,0.05,15,50000,2500,2250,250,2235,235,2485,True
17,0.05,50,50000,2500,2250,250,2200,200,2450,True
17,0.05,55,50000,2500,2250,250,2195,195,2445,True
17,0.05,155,50000,2500,2250,250,2095,95,2345,True
17,0.1,5,50000,5000,4500,500,4495,495,4995,True
17,0.1,15,50000,5000,4500,500,4485,485,4985,True
17,0.1,50,50000,5000,4500,500,4450,450,4950,True
17,0.1,55,50000,5000,4500,500,4445,445,4945,True
17,0.1,155,50000,5000,4500,500,4345,345,4845,True
17,0.2,5,50000,10000,9000,1000,8995,995,9995,True
17,0.2,15,50000,10000,9000,1000,8985,985,9985,True
17,0.2,50,50000,10000,9000,1000,8950,950,9950,True
17,0.2,55,50000,10000,9000,1000,8945,945,9945,True
17,0.2,155,50000,10000,9000,1000,8845,845,9845,True
17,0.5,5,50000,25000,22500,2500,22495,2495,24995,True
17,0.5,15,50000,25000,22500,2500,22485,2485,24985,True
17,0.5,50,50000,25000,22500,2500,22450,2450,24950,True
17,0.5,55,50000,25000,22500,2500,22445,2445,24945,True
17,0.5,155,50000,25000,22500,2500,22345,2345,24845,True
17,1.0,5,50000,50000,45000,5000,44995,4995,49995,True
17,1.0,15,50000,50000,45000,5000,44985,4985,49985,True
17,1.0,50,50000,50000,45000,5000,44950,4950,49950,True
17,1.0,55,50000,50000,45000,5000,44945,4945,49945,True
17,1.0,155,50000,50000,45000,5000,44845,4845,49845,True
18,0.05,5,50000,2500,2250,250,2245,245,2495,True
18,0.05,15,50000,2500,2250,250,2235,235,2485,True
18,0.05,50,50000,2500,2250,250,2200,200,2450,True
18,0.05,55,50000,2500,2250,250,2195,195,2445,True
18,0.05,155,50000,2500,2250,250,2095,95,2345,True
18,0.1,5,50000,5000,4500,500,4495,495,4995,True
18,0.1,15,50000,5000,4500,500,4485,485,4985,True
18,0.1,50,50000,5000,4500,500,4450,450,4950,True
18,0.1,55,50000,5000,4500,500,4445,445,4945,True
18,0.1,155,50000,5000,4500,500,4345,345,4845,True
18,0.2,5,50000,10000,9000,1000,8995,995,9995,True
18,0.2,15,50000,10000,9000,1000,8985,985,9985,True
18,0.2,50,50000,10000,9000,1000,8950,950,9950,True
18,0.2,55,50000,10000,9000,1000,8945,945,9945,True
18,0.2,155,50000,10000,9000,1000,8845,845,9845,True
18,0.5,5,50000,25000,22500,2500,22495,2495,24995,True
18,0.5,15,50000,25000,22500,2500,22485,2485,24985,True
18,0.5,50,50000,25000,22500,2500,22450,2450,24950,True
18,0.5,55,50000,25000,22500,2500,22445,2445,24945,True
18,0.5,155,50000,25000,22500,2500,22345,2345,24845,True
18,1.0,5,50000,50000,45000,5000,44995,4995,49995,True
18,1.0,15,50000,50000,45000,5000,44985,4985,49985,True
18,1.0,50,50000,50000,45000,5000,44950,4950,49950,True
18,1.0,55,50000,50000,45000,5000,44945,4945,49945,True
18,1.0,155,50000,50000,45000,5000,44845,4845,49845,True
19,0.05,5,43750,2188,1969,219,1964,214,2183,True
19,0.05,15,43750,2188,1969,219,1954,204,2173,True
19,0.05,50,43750,2188,1969,219,1919,169,2138,True
19,0.05,55,43750,2188,1969,219,1914,164,2133,True
19,0.05,155,43750,2188,1969,219,1814,64,2033,True
19,0.1,5,43750,4375,3937,438,3932,433,4370,True
19,0.1,15,43750,4375,3937,438,3922,423,4360,True
19,0.1,50,43750,4375,3937,438,3887,388,4325,True
19,0.1,55,43750,4375,3937,438,3882,383,4320,True
19,0.1,155,43750,4375,3937,438,3782,283,4220,True
19,0.2,5,43750,8750,7875,875,7870,870,8745,True
19,0.2,15,43750,8750,7875,875,7860,860,8735,True
19,0.2,50,43750,8750,7875,875,7825,825,8700,True
